,Player,PlayerURL
3,Vincent Aboubakar,https://fbref.com/en/players/8637e09a/Vincent-Aboubakar
4,Moumi Ngamaleu,https://fbref.com/en/players/0193a8bf/Moumi-Ngamaleu
5,Collins Fai,https://fbref.com/en/players/46e58246/Collins-Fai
6,Andre-Frank Zambo Anguissa,https://fbref.com/en/players/6bb2c084/Andre-Frank-Zambo-Anguissa
7,Nouhou Tolo,https://fbref.com/en/players/0796512f/Nouhou-Tolo
8,Eric Maxim Choupo-Moting,https://fbref.com/en/players/0e6bc38c/Eric-Maxim-Choupo-Moting
9,André Onana,https://fbref.com/en/players/e9c0c1b2/Andre-Onana
10,Samuel Oum Gouet,https://fbref.com/en/players/b82359be/Samuel-Oum-Gouet
11,Devis Epassy,https://fbref.com/en/players/e171b085/Devis-Epassy
14,Jean-Charles Castelletto,https://fbref.com/en/players/e0f3a1f6/Jean-Charles-Castelletto
15,Pierre Kunde,https://fbref.com/en/players/9ceb7642/Pierre-Kunde
17,Christian Bassogog,https://fbref.com/en/players/395cd1d9/Christian-Bassogog
19,Gaël Ondoua,https://fbref.com/en/players/7c41b738/Gael-Ondoua
0,Alistair Johnston,https://fbref.com/en/players/4fb17e20/Alistair-Johnston
1,Jonathan David,https://fbref.com/en/players/ce50fd99/Jonathan-David
2,Stephen Eustáquio,https://fbref.com/en/players/577efaec/Stephen-Eustaquio
3,Milan Borjan,https://fbref.com/en/players/5e8936be/Milan-Borjan
4,Richie Laryea,https://fbref.com/en/players/276fdbe4/Richie-Laryea
5,Tajon Buchanan,https://fbref.com/en/players/3aca6420/Tajon-Buchanan
6,Alphonso Davies,https://fbref.com/en/players/d781d855/Alphonso-Davies
7,Cyle Larin,https://fbref.com/en/players/e7af9060/Cyle-Larin
8,Sam Adekugbe,https://fbref.com/en/players/7f2309be/Sam-Adekugbe
9,Steven Vitória,https://fbref.com/en/players/9bc450e6/Steven-Vitoria
10,Jonathan Osorio,https://fbref.com/en/players/70106ff6/Jonathan-Osorio
11,Mark-Anthony Kaye,https://fbref.com/en/players/36a38acd/Mark-Anthony-Kaye
12,Kamal Miller,https://fbref.com/en/players/0646bd8a/Kamal-Miller
13,Atiba Hutchinson,https://fbref.com/en/players/f1b55719/Atiba-Hutchinson
15,Junior Hoilett,https://fbref.com/en/players/33af5b9e/Junior-Hoilett
18,Liam Millar,https://fbref.com/en/players/983515f8/Liam-Millar
20,Lucas Cavallini,https://fbref.com/en/players/dd8de641/Lucas-Cavallini
21,David Wotherspoon,https://fbref.com/en/players/e9a9b1fa/David-Wotherspoon
28,Ismaël Koné,https://fbref.com/en/players/e0220b70/Ismael-Kone
0,Francisco Calvo,https://fbref.com/en/players/706bd23f/Francisco-Calvo
1,Anthony Contreras,https://fbref.com/en/players/d05ca2cc/Anthony-Contreras
2,Óscar Duarte,https://fbref.com/en/players/aa0ac32d/Oscar-Duarte
3,Keylor Navas,https://fbref.com/en/players/ecada4fc/Keylor-Navas
4,Bryan Oviedo,https://fbref.com/en/players/31faf295/Bryan-Oviedo
5,Yeltsin Tejeda,https://fbref.com/en/players/74319b04/Yeltsin-Tejeda
6,Joel Campbell,https://fbref.com/en/players/895ff3ca/Joel-Campbell
7,Celso Borges,https://fbref.com/en/players/b8836910/Celso-Borges
8,Jewison Bennette,https://fbref.com/en/players/58f5704e/Jewison-Bennette
9,Keysher Fuller,https://fbref.com/en/players/78019e88/Keysher-Fuller
10,Gerson Torres,https://fbref.com/en/players/d56713ff/Gerson-Torres
11,Carlos Martínez,https://fbref.com/en/players/9acb9d76/Carlos-Martinez
12,Bryan Ruiz,https://fbref.com/en/players/fa6292e2/Bryan-Ruiz
13,Kendall Waston,https://fbref.com/en/players/02ea59b0/Kendall-Waston
14,Daniel Chacón,https://fbref.com/en/players/065a00d5/Daniel-Chacon
15,Johan Venegas,https://fbref.com/en/players/5eadd340/Johan-Venegas
16,Brandon Aguilera,https://fbref.com/en/players/938fa024/Brandon-Aguilera
22,Juan Pablo Vargas,https://fbref.com/en/players/e22564a0/Juan-Pablo-Vargas
0,Marcelo Brozović,https://fbref.com/en/players/33b8d077/Marcelo-Brozovic
1,Ivan Perišić,https://fbref.com/en/players/6fe90922/Ivan-Perisic
2,Andrej Kramarić,https://fbref.com/en/players/603cb947/Andrej-Kramaric
3,Mario Pašalić,https://fbref.com/en/players/e599253a/Mario-Pasalic
4,Josip Juranović,https://fbref.com/en/players/0a084b35/Josip-Juranovic
5,Nikola Vlašić,https://fbref.com/en/players/aa8e289e/Nikola-Vlasic
6,Dominik Livaković,https://fbref.com/en/players/58f077c0/Dominik-Livakovic
7,Luka Modrić,https://fbref.com/en/players/6025fab1/Luka-Modric
8,Dejan Lovren,https://fbref.com/en/players/1a2935f6/Dejan-Lovren
9,Mateo Kovačić,https://fbref.com/en/players/79c0821a/Mateo-Kovacic
11,Borna Sosa,https://fbref.com/en/players/af0d79a9/Borna-Sosa
13,Joško Gvardiol,https://fbref.com/en/players/5ad50391/Josko-Gvardiol
14,Borna Barišić,https://fbref.com/en/players/712dd708/Borna-Barisic
15,Mislav Oršić,https://fbref.com/en/players/ee950928/Mislav-Orsic
18,Josip Stanišić,https://fbref.com/en/players/7ed08d5c/Josip-Stanisic
21,Ante Budimir,https://fbref.com/en/players/8f3565b3/Ante-Budimir
22,Marko Livaja,https://fbref.com/en/players/6e5497ca/Marko-Livaja
24,Lovro Majer,https://fbref.com/en/players/fc46aab1/Lovro-Majer
28,Bruno Petković,https://fbref.com/en/players/24228180/Bruno-Petkovic
29,Kristijan Jakić,https://fbref.com/en/players/a8ee54ad/Kristijan-Jakic
0,Kasper Schmeichel,https://fbref.com/en/players/53af52f3/Kasper-Schmeichel
1,Andreas Christensen,https://fbref.com/en/players/1cb49278/Andreas-Christensen
2,Joakim Mæhle,https://fbref.com/en/players/c459a650/Joakim-Maehle
3,Simon Kjær,https://fbref.com/en/players/8b8a56ce/Simon-Kjaer
5,Andreas Skov Olsen,https://fbref.com/en/players/c50cee19/Andreas-Skov-Olsen
7,Thomas Delaney,https://fbref.com/en/players/fe641c1a/Thomas-Delaney
8,Pierre Højbjerg,https://fbref.com/en/players/8b04d6c1/Pierre-Hojbjerg
9,Mikkel Damsgaard,https://fbref.com/en/players/215f3907/Mikkel-Damsgaard
10,Christian Nørgaard,https://fbref.com/en/players/df0a4c90/Christian-Norgaard
