,Player,PlayerURL
611,Roozbeh Cheshmi,https://fbref.com/req/202302030/images/headshots/87c75fb3_2022.jpg
612,Salis Abdul Samed,https://fbref.com/req/202302030/images/headshots/82464ce3_2022.jpg
613,Niclas Füllkrug,https://fbref.com/req/202302030/images/headshots/4f16405e_2022.jpg
614,Marcus Thuram,https://fbref.com/req/202302030/images/headshots/6f8cd6d0_2022.jpg
615,Tariq Lamptey,https://fbref.com/req/202302030/images/headshots/f4e433d4_2022.jpg
616,Bryan Mbeumo,https://fbref.com/req/202302030/images/headshots/6afaebf2_2022.jpg
617,Harry Souttar,https://fbref.com/req/202302030/images/headshots/0a6cb1b1_2022.jpg
618,Abolfazl Jalali,https://fbref.com/req/202302030/images/headshots/d932eeee_2022.jpg
619,Pape Abou Cissé,https://fbref.com/req/202302030/images/headshots/8bc373ea_2022.jpg
620,Enzo Ebosse,https://fbref.com/req/202302030/images/headshots/9ba7b4fa_2022.jpg
621,Musab Kheder,https://fbref.com/req/202302030/images/headshots/d9261523_2022.jpg
622,Álvaro Zamora,https://fbref.com/req/202302030/images/headshots/d050756d_2022.jpg
623,Loïs Openda,https://fbref.com/req/202302030/images/headshots/8652a85c_2022.jpg
624,Badr Banoun,https://fbref.com/req/202302030/images/headshots/06a24e51_2022.jpg
625,Alidu Seidu,https://fbref.com/req/202302030/images/headshots/cea59f02_2022.jpg
626,Luis Chávez,https://fbref.com/req/202302030/images/headshots/e50949ea_2022.jpg
627,Kevin Álvarez,https://fbref.com/req/202302030/images/headshots/636b0833_2022.jpg
628,Alejandro Balde,https://fbref.com/req/202302030/images/headshots/5ccc9672_2022.jpg
629,Vincent Janssen,https://fbref.com/req/202302030/images/headshots/31dce0c8_2022.jpg
630,Cho Yumin,https://fbref.com/req/202302030/images/headshots/7a4529dc_2022.jpg
631,Jason Cummings,https://fbref.com/req/202302030/images/headshots/e28fbd0e_2022.jpg
632,Kevin Rodríguez,https://fbref.com/req/202302030/images/headshots/189fb038_2022.jpg
