,player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,games,games_starts,minutes,goals_pens,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
149,Michał Skóraś,MF,Poland,22-306,2000,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,2,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,88.9,127.0,4.0,1.0,2.0,50.0,6.0,6.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,8.0,3.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,9.0,3.0,0,1,0,0.0,2.0,0.0,0.0,,22.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,1,0,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
150,Michel Aebischer,MF,Switzerland,25-346,1997,0.2,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,23.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,,0.0,0.0,4.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Mikkel Damsgaard,MF,Denmark,22-168,2000,1.7,4.0,2,2.0,2.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0,2.0,2,6.0,1.0,0.0,3.0,1.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,1,3,0.0,0.0,0,10.0,0.0,1.0,0.0,72.0,72.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,76.4,833.0,251.0,32.0,40.0,80.0,16.0,21.0,76.2,4.0,7.0,57.1,0,0.3,0.2,-0.3,2.0,9.0,3.0,2.0,5.0,91.0,1.0,11.0,54.0,26.0,2.0,91.0,0.0,2.0,0.0,2.0,2.0,62.0,9.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,3,1,150,0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.2,0.0,0.2
152,Mohamed Ali Ben Romdhane,MF,Tunisia,23-103,1999,0.8,5.0,4,1.0,4.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,1,0.0,0.0,0,10.0,1.0,0.0,100.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,66.7,217.0,22.0,7.0,11.0,63.6,7.0,7.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,31.0,1.0,5.0,18.0,10.0,3.0,31.0,1.0,3.0,33.3,0.0,5.0,15.0,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,1,73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Mohamed Kanno,MF,Saudi Arabia,28-087,1994,3.0,6.0,2,5.0,1.0,0.0,1.0,2.0,50.0,1.0,3.0,1.0,2.0,2,8.0,7.0,0.0,5.0,1.67,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,8,3,1,0,0.0,0.0,0,19.0,8.0,9.0,47.1,147.0,142.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,1.0,81.0,1814.0,535.0,61.0,72.0,84.7,40.0,45.0,88.9,9.0,15.0,60.0,0,0.0,0.1,0.0,0.0,15.0,2.0,0.0,11.0,184.0,10.0,31.0,109.0,48.0,6.0,184.0,5.0,10.0,50.0,6.0,1.0,117.0,7.0,0,6,1,16.7,2.0,0.33,0.0,0.0,20.3,1.0,0,0,0.3,0.3,0.05,-0.3,-0.3,3,3,270,0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.1,0.1,0.1
154,Mohammed Waad,MF,Qatar,23-091,1999,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1,1.0,1.0,0.0,1.0,3.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0.0,0.0,0,1.0,0.0,0.0,,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,75.0,185.0,28.0,6.0,8.0,75.0,1.0,1.0,100.0,2.0,2.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,8.0,3.0,0.0,16.0,1.0,1.0,100.0,1.0,0.0,12.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,2,0,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Moisés Caicedo,MF,Ecuador,21-046,2001,3.0,6.0,5,2.0,4.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,4.0,2,8.0,2.0,1.0,5.0,1.67,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,4,5,0,0,0.0,0.0,0,14.0,1.0,1.0,50.0,153.0,149.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,3.0,82.4,1613.0,417.0,83.0,95.0,87.4,36.0,43.0,83.7,1.0,5.0,20.0,0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,7.0,173.0,4.0,29.0,121.0,23.0,3.0,173.0,0.0,0.0,,3.0,1.0,117.0,1.0,1,3,1,33.3,1.0,0.33,0.33,1.0,16.0,0.0,0,0,0.5,0.5,0.17,0.5,0.5,3,3,269,1,0.33,0.0,0.33,0.33,0.33,0.5,0.17,0.0,0.17,0.17,0.17
156,Nampalys Mendy,MF,Senegal,30-178,1992,3.0,4.0,4,3.0,1.0,0.0,2.0,4.0,50.0,2.0,4.0,0.0,4.0,3,7.0,3.0,0.0,6.0,1.98,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,5,2,0,2,0.0,0.0,0,18.0,0.0,1.0,0.0,159.0,156.0,3.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,3.0,88.7,2662.0,472.0,58.0,64.0,90.6,55.0,58.0,94.8,21.0,27.0,77.8,0,0.0,0.1,0.0,1.0,13.0,2.0,1.0,6.0,182.0,5.0,42.0,111.0,31.0,1.0,182.0,1.0,1.0,100.0,4.0,0.0,122.0,2.0,0,2,0,0.0,0.66,0.0,0.0,,22.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,4,3,272,0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.01,0.03,0.02,0.03
157,Nawaf Al Abed,MF,Saudi Arabia,32-326,1990,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,3.0,3.1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.03,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,2,2,0,2,0.0,0.0,0,2.0,0.0,1.0,0.0,39.0,36.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,33.0,0.0,0.0,84.6,458.0,60.0,23.0,24.0,95.8,7.0,10.0,70.0,1.0,2.0,50.0,0,0.1,0.0,-0.1,1.0,2.0,0.0,0.0,0.0,51.0,0.0,1.0,23.0,28.0,4.0,51.0,1.0,2.0,50.0,6.0,5.0,41.0,6.0,0,2,0,0.0,2.05,0.0,0.0,,21.1,1.0,0,0,0.1,0.1,0.07,-0.1,-0.1,2,0,88,0,0.0,0.0,0.0,0.0,0.0,0.2,0.13,0.06,0.2,0.13,0.2
158,Naïm Sliti,MF,Tunisia,30-144,1992,1.3,3.0,1,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,3.0,1.0,0.0,5.0,3.95,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,2,13,0.0,0.0,0,8.0,1.0,1.0,50.0,51.0,42.0,9.0,2.0,0.0,0.0,2.0,5.0,2.0,2.0,0.0,29.0,0.0,0.0,56.9,557.0,202.0,11.0,17.0,64.7,12.0,16.0,75.0,5.0,16.0,31.3,0,0.1,0.1,-0.1,2.0,3.0,3.0,1.0,8.0,67.0,0.0,5.0,26.0,37.0,4.0,67.0,5.0,8.0,62.5,4.0,1.0,39.0,4.0,0,1,0,0.0,0.79,0.0,0.0,,10.3,0.0,0,0,0.1,0.1,0.14,-0.1,-0.1,2,1,114,0,0.0,0.0,0.0,0.0,0.0,0.3,0.11,0.1,0.21,0.11,0.21
