,player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,games,games_starts,minutes,goals_pens,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
16,Antoine Semenyo,FW,Ghana,22-345,2000,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0.0,0.0,0,0.0,1.0,4.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,15.0,0.0,0.0,0.0,,1.0,2.0,50.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,4.0,2.0,6.0,0.0,0.0,,1.0,1.0,2.0,2.0,0,1,0,0.0,4.5,0.0,0.0,,13.5,0.0,0,0,0.0,0.0,0.05,0.0,0.0,2,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22
17,Antony,FW,Brazil,22-297,2000,1.9,3.0,0,2.0,0.0,1.0,1.0,2.0,50.0,1.0,3.0,0.0,3.0,1,4.0,1.0,0.0,7.0,4.44,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,5,0,10,0.0,0.0,0,12.0,1.0,2.0,33.3,109.0,100.0,9.0,1.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,86.0,0.0,1.0,78.9,1109.0,224.0,56.0,62.0,90.3,19.0,26.0,73.1,4.0,10.0,40.0,0,0.1,0.2,-0.1,3.0,2.0,2.0,0.0,5.0,145.0,0.0,14.0,53.0,81.0,7.0,145.0,4.0,16.0,25.0,6.0,6.0,113.0,10.0,0,6,2,33.3,3.14,1.05,0.0,0.0,22.2,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,4,1,172,0,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.08,0.22,0.15,0.22
18,Ardon Jasari,FW,Switzerland,20-141,2002,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,83.3,63.0,11.0,3.0,3.0,100.0,2.0,3.0,66.7,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,5.0,2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Arkadiusz Milik,FW,Poland,28-293,1994,1.1,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0,0.0,0.0,0.0,2.0,1.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,1,0,0.0,0.0,0,3.0,4.0,5.0,44.4,29.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,3.0,65.5,245.0,19.0,8.0,10.0,80.0,9.0,10.0,90.0,0.0,3.0,0.0,0,0.1,0.0,-0.1,1.0,0.0,0.0,0.0,0.0,39.0,1.0,2.0,24.0,13.0,3.0,39.0,1.0,1.0,100.0,3.0,1.0,31.0,4.0,0,1,0,0.0,0.89,0.0,0.0,,9.0,0.0,0,0,0.2,0.2,0.25,-0.2,-0.2,3,1,101,0,0.0,0.0,0.0,0.0,0.0,0.3,0.22,0.09,0.31,0.22,0.31
20,Asiri Haitham,FW,Saudi Arabia,21-268,2001,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,11.0,0.0,1.0,2.0,50.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,0.0,5.0,0.0,0.0,,0.0,0.0,1.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Ayase Ueda,FW,Japan,24-099,1998,0.5,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0,3.0,1.0,0.0,100.0,12.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,58.3,89.0,11.0,5.0,8.0,62.5,2.0,4.0,50.0,0.0,0.0,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,23.0,1.0,3.0,6.0,15.0,1.0,23.0,0.0,0.0,,4.0,2.0,15.0,5.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,1,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
22,Bamba Dieng,FW,Senegal,22-270,2000,1.1,2.0,1,1.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,2.0,0,2.0,0.0,0.0,4.0,3.6,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5,3,0,1,0.0,0.0,0,4.0,2.0,8.0,20.0,16.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,56.3,83.0,1.0,8.0,10.0,80.0,1.0,2.0,50.0,0.0,1.0,0.0,0,0.1,0.0,-0.1,2.0,1.0,0.0,0.0,0.0,32.0,0.0,2.0,16.0,14.0,3.0,32.0,0.0,2.0,0.0,4.0,4.0,22.0,2.0,1,4,1,25.0,3.6,0.9,0.25,1.0,16.3,1.0,0,0,0.5,0.5,0.12,0.5,0.5,4,0,100,1,0.9,0.0,0.9,0.9,0.9,0.6,0.45,0.05,0.5,0.45,0.5
23,Boulaye Dia,FW,Senegal,26-032,1996,3.5,1.0,0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1,2.0,3.0,0.0,5.0,1.42,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.28,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,3,3,2,1,0.0,0.0,0,7.0,5.0,7.0,41.7,53.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,2.0,73.6,471.0,53.0,27.0,33.0,81.8,9.0,10.0,90.0,1.0,1.0,100.0,0,0.0,0.1,0.0,1.0,1.0,2.0,0.0,3.0,81.0,3.0,5.0,27.0,51.0,11.0,81.0,1.0,4.0,25.0,9.0,8.0,56.0,21.0,1,8,3,37.5,2.26,0.85,0.13,0.33,14.2,0.0,0,0,0.7,0.7,0.09,0.3,0.3,4,4,318,1,0.28,0.0,0.28,0.28,0.28,0.8,0.21,0.01,0.22,0.21,0.22
24,Breel Embolo,FW,Switzerland,25-307,1997,3.6,1.0,0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,0,1.0,1.0,0.0,6.0,1.67,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,12,2,0,0.0,0.0,0,6.0,2.0,8.0,20.0,62.0,53.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,2.0,74.2,672.0,66.0,22.0,29.0,75.9,19.0,23.0,82.6,2.0,3.0,66.7,0,0.1,0.1,-0.1,2.0,0.0,1.0,0.0,3.0,92.0,3.0,4.0,44.0,45.0,10.0,92.0,2.0,6.0,33.3,10.0,10.0,76.0,23.0,2,6,3,50.0,1.67,0.84,0.33,0.67,10.5,0.0,0,0,2.3,2.3,0.38,-0.3,-0.3,4,4,323,2,0.56,0.0,0.56,0.56,0.56,2.4,0.64,0.03,0.66,0.64,0.66
25,Brennan Johnson,FW,Wales,21-209,2001,1.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0,0.0,1.0,0.0,1.0,0.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.99,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,1,0.0,0.0,0,3.0,0.0,2.0,0.0,17.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,58.8,143.0,60.0,7.0,11.0,63.6,3.0,6.0,50.0,0.0,0.0,,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,33.0,2.0,6.0,6.0,21.0,7.0,33.0,0.0,5.0,0.0,3.0,2.0,17.0,4.0,0,3,1,33.3,2.97,0.99,0.0,0.0,14.6,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2,3,0,91,0,0.0,0.0,0.0,0.0,0.0,0.2,0.21,0.0,0.21,0.21,0.21
