,player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,games,games_starts,minutes,goals_pens,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
380,Leander Dendoncker,DF,Belgium,27-247,1995,1.8,6.0,3,4.0,2.0,0.0,4.0,4.0,100.0,0.0,4.0,3.0,1.0,0,6.0,5.0,0.0,3.0,1.68,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,3,0,0,0,0.0,0.0,0,6.0,2.0,1.0,66.7,122.0,119.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,97.5,2213.0,533.0,40.0,40.0,100.0,72.0,74.0,97.3,7.0,7.0,100.0,0,0.4,0.3,-0.4,1.0,6.0,0.0,0.0,10.0,142.0,17.0,69.0,66.0,8.0,3.0,142.0,0.0,1.0,0.0,1.0,1.0,111.0,1.0,0,1,0,0.0,0.56,0.0,0.0,,9.6,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1,2,2,161,0,0.0,0.0,0.0,0.0,0.0,0.4,0.05,0.2,0.25,0.05,0.25
381,Leandro Paredes,MF,Argentina,28-172,1994,2.5,10.0,4,4.0,6.0,0.0,3.0,4.0,75.0,1.0,0.0,0.0,0.0,3,13.0,4.0,0.0,7.0,3.58,5.0,1.0,0.0,0.0,1.0,0.0,2.0,1.02,1.0,0.0,0.0,0.0,1.0,0.0,2,0,0,6,5,0,0,1.0,0.0,0,19.0,4.0,0.0,100.0,246.0,233.0,12.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,230.0,1.0,0.0,93.5,3700.0,1333.0,109.0,113.0,96.5,104.0,110.0,94.5,12.0,16.0,75.0,0,0.0,0.1,0.0,2.0,18.0,1.0,0.0,13.0,269.0,6.0,48.0,199.0,23.0,0.0,269.0,0.0,1.0,0.0,1.0,0.0,204.0,1.0,0,1,1,100.0,0.4,0.4,0.0,0.0,30.6,0.0,0,0,0.0,0.0,0.03,0.0,0.0,5,2,225,0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03
382,Leandro Trossard,FW,Belgium,28-014,1994,1.1,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0,1.0,0.0,0.0,3.0,2.62,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,0.0,0.0,0,7.0,0.0,0.0,,57.0,56.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,75.4,822.0,144.0,21.0,26.0,80.8,16.0,21.0,76.2,6.0,7.0,85.7,0,0.1,0.0,-0.1,2.0,4.0,0.0,0.0,3.0,66.0,1.0,6.0,34.0,27.0,3.0,66.0,0.0,4.0,0.0,2.0,1.0,51.0,8.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,3,1,103,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.08,0.08,0.0,0.08
383,Lee Jae-sung,MF,Korea Republic,30-130,1992,2.3,5.0,2,1.0,2.0,2.0,1.0,8.0,12.5,7.0,3.0,0.0,3.0,3,8.0,2.0,0.0,4.0,1.71,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,1,0.0,0.0,0,7.0,3.0,4.0,42.9,97.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,2.0,86.6,1285.0,170.0,41.0,49.0,83.7,35.0,37.0,94.6,6.0,7.0,85.7,0,0.0,0.1,0.0,2.0,4.0,0.0,0.0,0.0,116.0,3.0,18.0,59.0,40.0,1.0,116.0,2.0,3.0,66.7,2.0,0.0,83.0,9.0,0,1,0,0.0,0.43,0.0,0.0,,26.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0,3,3,211,0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03
384,Lee Kangin,MF,Korea Republic,21-302,2001,1.6,4.0,3,1.0,2.0,1.0,2.0,5.0,40.0,3.0,0.0,0.0,0.0,0,4.0,0.0,0.0,13.0,7.96,8.0,0.0,0.0,2.0,2.0,1.0,3.0,1.84,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,2,4,0,12,0.0,0.0,0,6.0,0.0,1.0,0.0,77.0,66.0,11.0,5.0,0.0,1.0,0.0,5.0,3.0,2.0,0.0,62.0,0.0,1.0,80.5,1225.0,297.0,22.0,24.0,91.7,28.0,30.0,93.3,10.0,20.0,50.0,1,0.3,0.3,0.7,4.0,6.0,6.0,1.0,11.0,91.0,0.0,7.0,43.0,42.0,2.0,91.0,1.0,2.0,50.0,2.0,3.0,60.0,4.0,0,5,1,20.0,3.06,0.61,0.0,0.0,25.9,2.0,0,0,0.2,0.2,0.03,-0.2,-0.2,4,1,147,0,0.0,0.61,0.61,0.0,0.61,0.4,0.09,0.17,0.27,0.09,0.27
385,Leon Goretzka,MF,Germany,27-315,1995,1.8,5.0,3,2.0,3.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,1,6.0,0.0,0.0,1.0,0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,4,3,0,1,0.0,0.0,0,12.0,3.0,2.0,60.0,57.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,1.0,73.7,552.0,132.0,24.0,28.0,85.7,11.0,15.0,73.3,2.0,4.0,50.0,0,0.0,0.1,0.0,1.0,3.0,0.0,0.0,1.0,72.0,4.0,14.0,33.0,25.0,4.0,72.0,0.0,0.0,,2.0,2.0,43.0,2.0,0,4,1,25.0,2.26,0.57,0.0,0.0,16.7,0.0,0,0,0.5,0.5,0.11,-0.5,-0.5,3,2,159,0,0.0,0.0,0.0,0.0,0.0,0.5,0.26,0.01,0.27,0.26,0.27
386,Leroy Sané,FW,Germany,26-341,1996,1.2,1.0,1,1.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0,2.0,0,1.0,1.0,0.0,7.0,5.68,6.0,0.0,1.0,0.0,0.0,0.0,2.0,1.62,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0.0,0.0,0,6.0,1.0,1.0,50.0,58.0,58.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,81.0,647.0,273.0,22.0,28.0,78.6,15.0,16.0,93.8,2.0,3.0,66.7,1,1.8,1.9,-0.8,4.0,6.0,6.0,1.0,9.0,68.0,1.0,3.0,23.0,43.0,7.0,68.0,3.0,6.0,50.0,0.0,3.0,61.0,9.0,0,3,0,0.0,2.43,0.0,0.0,,25.4,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,2,1,111,0,0.0,0.81,0.81,0.0,0.81,1.9,0.09,1.44,1.54,0.09,1.54
387,Liam Millar,DF,Canada,23-082,1999,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,2,0.0,0.0,0,0.0,0.0,0.0,,9.0,7.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,44.4,51.0,23.0,2.0,3.0,66.7,2.0,4.0,50.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,3.0,6.0,1.0,9.0,0.0,0.0,,0.0,0.0,5.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,Lionel Messi,FW,Argentina,35-177,1987,7.7,5.0,3,1.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0,5.0,0.0,0.0,43.0,6.14,28.0,5.0,3.0,1.0,5.0,1.0,5.0,0.71,4.0,0.0,1.0,0.0,0.0,0.0,1,0,0,10,22,3,20,1.0,0.0,0,22.0,2.0,7.0,22.2,372.0,323.0,45.0,19.0,3.0,4.0,0.0,20.0,6.0,11.0,0.0,301.0,4.0,13.0,80.9,4538.0,1554.0,171.0,183.0,93.4,93.0,110.0,84.5,27.0,47.0,57.4,3,2.5,2.0,0.5,21.0,38.0,18.0,0.0,49.0,460.0,1.0,21.0,208.0,239.0,38.0,455.0,15.0,34.0,44.1,13.0,24.0,378.0,33.0,7,27,13,48.1,3.52,1.7,0.11,0.23,21.0,3.0,4,5,6.6,2.6,0.1,0.4,0.4,7,7,690,3,0.91,0.39,1.3,0.39,0.78,5.1,0.94,0.36,1.3,0.38,0.74
389,Lisandro Martínez,DF,Argentina,24-334,1998,3.4,6.0,2,4.0,2.0,0.0,2.0,2.0,100.0,0.0,3.0,1.0,2.0,3,9.0,14.0,0.0,2.0,0.59,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,3,0,1,0.0,0.0,0,6.0,3.0,3.0,50.0,156.0,146.0,9.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,133.0,1.0,0.0,85.3,2311.0,821.0,63.0,70.0,90.0,57.0,64.0,89.1,13.0,21.0,61.9,0,0.7,0.0,-0.7,1.0,11.0,1.0,0.0,6.0,188.0,17.0,83.0,94.0,12.0,1.0,188.0,0.0,1.0,0.0,1.0,0.0,123.0,0.0,0,1,0,0.0,0.3,0.0,0.0,,10.1,0.0,0,0,0.1,0.1,0.12,-0.1,-0.1,5,2,303,0,0.0,0.0,0.0,0.0,0.0,0.8,0.04,0.21,0.25,0.04,0.25
