"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Croatia","WCQ — UEFA M","Marcelo Brozović","MF","29",9,9,758,8.4,1,0,1,0,0,1,0,0.12,0,0.12,0.12,0.12,"https://fbref.com/en/players/33b8d077/Marcelo-Brozovic"
"2",NA,"2022 Croatia","WCQ — UEFA M","Ivan Perišić","MF,FW","32",10,8,720,8,3,2,3,0,0,1,0,0.37,0.25,0.62,0.37,0.62,"https://fbref.com/en/players/6fe90922/Ivan-Perisic"
"3",NA,"2022 Croatia","WCQ — UEFA M","Andrej Kramarić","FW,MF","30",9,7,564,6.3,2,3,2,0,0,0,0,0.32,0.48,0.8,0.32,0.8,"https://fbref.com/en/players/603cb947/Andrej-Kramaric"
"4",NA,"2022 Croatia","WCQ — UEFA M","Mario Pašalić","MF,DF","26",10,7,544,6,3,2,3,0,0,0,0,0.5,0.33,0.83,0.5,0.83,"https://fbref.com/en/players/e599253a/Mario-Pasalic"
"5",NA,"2022 Croatia","WCQ — UEFA M","Josip Juranović","DF","26",7,6,569,6.3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/0a084b35/Josip-Juranovic"
"6",NA,"2022 Croatia","WCQ — UEFA M","Nikola Vlašić","MF,FW","24",10,6,566,6.3,1,0,1,0,0,1,0,0.16,0,0.16,0.16,0.16,"https://fbref.com/en/players/aa8e289e/Nikola-Vlasic"
"7",NA,"2022 Croatia","WCQ — UEFA M","Dominik Livaković","GK","27",6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/58f077c0/Dominik-Livakovic"
"8",NA,"2022 Croatia","WCQ — UEFA M","Luka Modrić","MF","36",7,6,533,5.9,3,2,2,1,2,0,0,0.51,0.34,0.84,0.34,0.68,"https://fbref.com/en/players/6025fab1/Luka-Modric"
"9",NA,"2022 Croatia","WCQ — UEFA M","Dejan Lovren","DF,MF","32",6,6,526,5.8,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1a2935f6/Dejan-Lovren"
"10",NA,"2022 Croatia","WCQ — UEFA M","Mateo Kovačić","MF,FW","27",7,6,496,5.5,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/79c0821a/Mateo-Kovacic"
"11",NA,"2022 Croatia","WCQ — UEFA M","Duje Ćaleta-Car","DF","25",6,5,457,5.1,1,0,1,0,0,1,0,0.2,0,0.2,0.2,0.2,"https://fbref.com/en/players/94f8d10c/Duje-Caleta-Car"
"12",NA,"2022 Croatia","WCQ — UEFA M","Borna Sosa","DF","24",5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/af0d79a9/Borna-Sosa"
"13",NA,"2022 Croatia","WCQ — UEFA M","Domagoj Vida","DF","32",5,5,450,5,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/3f359b33/Domagoj-Vida"
"14",NA,"2022 Croatia","WCQ — UEFA M","Joško Gvardiol","DF","20",4,4,360,4,1,0,1,0,0,0,0,0.25,0,0.25,0.25,0.25,"https://fbref.com/en/players/5ad50391/Josko-Gvardiol"
"15",NA,"2022 Croatia","WCQ — UEFA M","Borna Barišić","DF","29",5,4,349,3.9,0,1,0,0,0,2,0,0,0.26,0.26,0,0.26,"https://fbref.com/en/players/712dd708/Borna-Barisic"
"16",NA,"2022 Croatia","WCQ — UEFA M","Mislav Oršić","MF,FW","29",7,2,276,3.1,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,"https://fbref.com/en/players/ee950928/Mislav-Orsic"
"17",NA,"2022 Croatia","WCQ — UEFA M","Ivo Grbić","GK","26",2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/3f034750/Ivo-Grbic"
"18",NA,"2022 Croatia","WCQ — UEFA M","Ivica Ivušić","GK","26",2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/6d0a2817/Ivica-Ivusic"
"19",NA,"2022 Croatia","WCQ — UEFA M","Josip Stanišić","DF","21",3,2,161,1.8,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/7ed08d5c/Josip-Stanisic"
"20",NA,"2022 Croatia","WCQ — UEFA M","Luka Ivanušec","MF,FW","23",5,2,142,1.6,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/29fbdc88/Luka-Ivanusec"
"21",NA,"2022 Croatia","WCQ — UEFA M","Šime Vrsaljko","DF","30",2,2,135,1.5,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/46a8347f/Sime-Vrsaljko"
"22",NA,"2022 Croatia","WCQ — UEFA M","Ante Budimir","FW","30",3,2,131,1.5,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/8f3565b3/Ante-Budimir"
"23",NA,"2022 Croatia","WCQ — UEFA M","Marko Livaja","MF","28",7,1,201,2.2,2,1,2,0,0,1,0,0.9,0.45,1.34,0.9,1.34,"https://fbref.com/en/players/6e5497ca/Marko-Livaja"
"24",NA,"2022 Croatia","WCQ — UEFA M","Josip Brekalo","MF","23",6,1,199,2.2,1,1,1,0,0,0,0,0.45,0.45,0.9,0.45,0.9,"https://fbref.com/en/players/d4a2533d/Josip-Brekalo"
"25",NA,"2022 Croatia","WCQ — UEFA M","Lovro Majer","FW","24",2,1,97,1.1,2,0,2,0,0,0,0,1.86,0,1.86,1.86,1.86,"https://fbref.com/en/players/fc46aab1/Lovro-Majer"
"26",NA,"2022 Croatia","WCQ — UEFA M","Antonio Čolak","FW","28",2,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/bfde3de5/Antonio-Colak"
"27",NA,"2022 Croatia","WCQ — UEFA M","Dario Melnjak","DF","29",1,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f69bbe98/Dario-Melnjak"
"28",NA,"2022 Croatia","WCQ — UEFA M","Milan Badelj","MF","32",1,1,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e8c930bb/Milan-Badelj"
"29",NA,"2022 Croatia","WCQ — UEFA M","Bruno Petković","FW","27",2,0,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/24228180/Bruno-Petkovic"
"30",NA,"2022 Croatia","WCQ — UEFA M","Kristijan Jakić","MF","24",2,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a8ee54ad/Kristijan-Jakic"
"31",NA,"2022 Croatia","WCQ — UEFA M","Kristijan Lovrić","FW","26",1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ddb6be39/Kristijan-Lovric"
"32",NA,"2022 Croatia","WCQ — UEFA M","Mile Škorić","DF,MF","30",1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e66c4395/Mile-Skoric"
"33",NA,"2022 Croatia","WCQ — UEFA M","Luka Sučić","MF","19",1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1e1378e1/Luka-Sucic"
"34",NA,"2022 Croatia","WCQ — UEFA M","Lovre Kalinić","GK","31",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/3a74f92b/Lovre-Kalinic"
"35",NA,"2022 Croatia","WCQ — UEFA M","Nikola Moro","MF","23",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ff579c7e/Nikola-Moro"
"36",NA,"2022 Croatia","WCQ — UEFA M","Marin Pongračić","DF","24",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/2a6cd437/Marin-Pongracic"
"37",NA,"2022 Croatia","WCQ — UEFA M","Simon Sluga","GK","28",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5a5d394c/Simon-Sluga"
"38",NA,"2022 Croatia","WCQ — UEFA M","Filip Uremović","DF","24",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/af842091/Filip-Uremovic"
