"","Season","Squad","Comp","Player","Pos","Age","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Saudi Arabia","WCQ — AFC M","Yasser Al-Shahrani","DF","29",15,15,1341,14.9,2,0,2,0,0,1,0,0.13,0,0.13,0.13,0.13,"https://fbref.com/en/players/251c164e/Yasser-Al-Shahrani"
"2",NA,"2022 Saudi Arabia","WCQ — AFC M","Mohammed Al-Owais","GK","30",15,15,1328,14.8,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f2c060c6/Mohammed-Al-Owais"
"3",NA,"2022 Saudi Arabia","WCQ — AFC M","Salman Al-Faraj","MF","32",14,14,1258,14,4,1,3,1,1,2,0,0.29,0.07,0.36,0.21,0.29,"https://fbref.com/en/players/df145034/Salman-Al-Faraj"
"4",NA,"2022 Saudi Arabia","WCQ — AFC M","Salem Al-Dawsari","MF,FW","30",13,13,1168,13,7,1,4,3,3,2,0,0.54,0.08,0.62,0.31,0.39,"https://fbref.com/en/players/60ee859c/Salem-Al-Dawsari"
"5",NA,"2022 Saudi Arabia","WCQ — AFC M","Fahad Al Muwallad","MF","27",13,13,1084,12,4,3,4,0,0,2,0,0.33,0.25,0.58,0.33,0.58,"https://fbref.com/en/players/23f32ea1/Fahad-Al-Muwallad"
"6",NA,"2022 Saudi Arabia","WCQ — AFC M","Abdulellah Al-Malki","MF","27",13,12,983,10.9,0,1,0,0,0,4,0,0,0.09,0.09,0,0.09,"https://fbref.com/en/players/3bcd2730/Abdulellah-Al-Malki"
"7",NA,"2022 Saudi Arabia","WCQ — AFC M","Mohamed Kanno","MF","27",11,10,953,10.6,0,1,0,0,0,0,0,0,0.09,0.09,0,0.09,"https://fbref.com/en/players/74ccf212/Mohamed-Kanno"
"8",NA,"2022 Saudi Arabia","WCQ — AFC M","Abdulelah Al-Amri","DF","25",10,10,900,10,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/fd0affe3/Abdulelah-Al-Amri"
"9",NA,"2022 Saudi Arabia","WCQ — AFC M","Abdullah Madu","DF","28",10,10,874,9.7,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/9c3523a4/Abdullah-Madu"
"10",NA,"2022 Saudi Arabia","WCQ — AFC M","Sultan Al-Ghanam","DF","27",10,10,872,9.7,0,3,0,0,0,1,0,0,0.31,0.31,0,0.31,"https://fbref.com/en/players/0ea89f8d/Sultan-Al-Ghanam"
"11",NA,"2022 Saudi Arabia","WCQ — AFC M","Saleh Al-Shehri","FW","28",13,9,765,8.5,7,2,6,1,1,0,0,0.82,0.24,1.06,0.71,0.94,"https://fbref.com/en/players/f4377d0f/Saleh-Al-Shehri"
"12",NA,"2022 Saudi Arabia","WCQ — AFC M","Mohammed Al-Breik","DF","29",9,7,604,6.7,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/bd448676/Mohammed-Al-Breik"
"13",NA,"2022 Saudi Arabia","WCQ — AFC M","Abdullah Otayf","MF","29",7,7,526,5.8,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/508d44cf/Abdullah-Otayf"
"14",NA,"2022 Saudi Arabia","WCQ — AFC M","Ali Al-Bulaihi","DF","32",10,6,559,6.2,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/8d7b2936/Ali-Al-Bulaihi"
"15",NA,"2022 Saudi Arabia","WCQ — AFC M","Hattan Bahebri","MF,FW","29",8,6,545,6.1,1,0,1,0,0,1,0,0.17,0,0.17,0.17,0.17,"https://fbref.com/en/players/b4f50ff5/Hattan-Bahebri"
"16",NA,"2022 Saudi Arabia","WCQ — AFC M","Firas Al-Buraikan","FW","21",12,5,540,6,3,0,3,0,0,0,0,0.5,0,0.5,0.5,0.5,"https://fbref.com/en/players/ac717a23/Firas-Al-Buraikan"
"17",NA,"2022 Saudi Arabia","WCQ — AFC M","Abdullah Al Hamdan","FW","22",8,4,321,3.6,1,2,1,0,1,0,0,0.28,0.56,0.84,0.28,0.84,"https://fbref.com/en/players/cc4b5436/Abdullah-Al-Hamdan"
"18",NA,"2022 Saudi Arabia","WCQ — AFC M","Sami Al-Najei","MF","24",9,3,325,3.6,2,0,2,0,0,0,0,0.55,0,0.55,0.55,0.55,"https://fbref.com/en/players/978e29d3/Sami-Al-Najei"
"19",NA,"2022 Saudi Arabia","WCQ — AFC M","Ziyad Al-Sahafi","DF","27",5,3,274,3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1141f1af/Ziyad-Al-Sahafi"
"20",NA,"2022 Saudi Arabia","WCQ — AFC M","Hassan Al Tambakti","DF","22",4,3,260,2.9,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/6d78c320/Hassan-Al-Tambakti"
