"","Season","Squad","Comp","Player","Pos","Age","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"21",NA,"2022 Saudi Arabia","WCQ — AFC M","Yahya Al-Shehri","MF,FW","31",3,3,215,2.4,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/858a6aab/Yahya-Al-Shehri"
"22",NA,"2022 Saudi Arabia","WCQ — AFC M","Abdulfattah Asiri","MF","27",3,2,224,2.5,2,0,2,0,0,0,0,0.8,0,0.8,0.8,0.8,"https://fbref.com/en/players/507de9f6/Abdulfattah-Asiri"
"23",NA,"2022 Saudi Arabia","WCQ — AFC M","Mohammed Al-Khabrani","DF","28",3,2,190,2.1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/614b7be3/Mohammed-Al-Khabrani"
"24",NA,"2022 Saudi Arabia","WCQ — AFC M","Nasser Al-Dawsari","DF","23",3,2,185,2.1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/7709e4a6/Nasser-Al-Dawsari"
"25",NA,"2022 Saudi Arabia","WCQ — AFC M","Mohammed Al Yami","GK","24",2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/0bb0f7c6/Mohammed-Al-Yami"
"26",NA,"2022 Saudi Arabia","WCQ — AFC M","Abdulrahman Ghareeb","MF","24",3,2,141,1.6,0,1,0,0,0,0,0,0,0.64,0.64,0,0.64,"https://fbref.com/en/players/8472683b/Abdulrahman-Ghareeb"
"27",NA,"2022 Saudi Arabia","WCQ — AFC M","Ali Al Hassan","MF","24",6,2,112,1.2,1,0,1,0,0,0,0,0.8,0,0.8,0.8,0.8,"https://fbref.com/en/players/68b689fa/Ali-Al-Hassan"
"28",NA,"2022 Saudi Arabia","WCQ — AFC M","Abdullah Al-Khaibari","MF","25",4,1,182,2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ab47ae1c/Abdullah-Al-Khaibari"
"29",NA,"2022 Saudi Arabia","WCQ — AFC M","Saud Abdulhamid","DF","22",7,1,175,1.9,0,1,0,0,0,1,0,0,0.51,0.51,0,0.51,"https://fbref.com/en/players/caa254e4/Saud-Abdulhamid"
"30",NA,"2022 Saudi Arabia","WCQ — AFC M","Ahmed Sharahili","DF","27",2,1,115,1.3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8e9693fd/Ahmed-Sharahili"
"31",NA,"2022 Saudi Arabia","WCQ — AFC M","Omar Hawsawi","DF","36",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/6caca8e5/Omar-Hawsawi"
"32",NA,"2022 Saudi Arabia","WCQ — AFC M","Abdullah Al-Mayouf","GK","35",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/c3c96222/Abdullah-Al-Mayouf"
"33",NA,"2022 Saudi Arabia","WCQ — AFC M","Hamdan Al-Shamrani","DF","25",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/651e0c51/Hamdan-Al-Shamrani"
"34",NA,"2022 Saudi Arabia","WCQ — AFC M","Ali Al Asmari","MF","25",3,1,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/5fc89dc8/Ali-Al-Asmari"
"35",NA,"2022 Saudi Arabia","WCQ — AFC M","Khaled Al-Sumairi","MF","25",1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/b822e811/Khaled-Al-Sumairi"
"36",NA,"2022 Saudi Arabia","WCQ — AFC M","Abdulaziz Al-Bishi","MF","27",5,0,92,1,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/778e66d1/Abdulaziz-Al-Bishi"
"37",NA,"2022 Saudi Arabia","WCQ — AFC M","Khalid Al Ghannam","MF","21",2,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/c16843c7/Khalid-Al-Ghannam"
"38",NA,"2022 Saudi Arabia","WCQ — AFC M","Mohammed Al-Kwikbi","MF","27",3,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f055c890/Mohammed-Al-Kwikbi"
"39",NA,"2022 Saudi Arabia","WCQ — AFC M","Fawaz Al-Qarni","GK","29",1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/5e08e9d2/Fawaz-Al-Qarni"
"40",NA,"2022 Saudi Arabia","WCQ — AFC M","Haroune Camara","FW","24",1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/804de447/Haroune-Camara"
"41",NA,"2022 Saudi Arabia","WCQ — AFC M","Nawaf Al Abed","FW,MF","32",1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/bfef5c87/Nawaf-Al-Abed"
"42",NA,"2022 Saudi Arabia","WCQ — AFC M","Aiman Salem","MF","20",2,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/650eaf9c/Aiman-Salem"
"43",NA,"2022 Saudi Arabia","WCQ — AFC M","Abdulrahman Al-Aboud","MF","26",1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/9bf54a3b/Abdulrahman-Al-Aboud"
"44",NA,"2022 Saudi Arabia","WCQ — AFC M","Abdurahman Al-Dossari","MF","24",1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/77d0ff42/Abdurahman-Al-Dossari"
"45",NA,"2022 Saudi Arabia","WCQ — AFC M","Nawaf Al Aqidi","GK","21",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/70f3a9d1/Nawaf-Al-Aqidi"
"46",NA,"2022 Saudi Arabia","WCQ — AFC M","Zaid Al Bawardi","GK","25",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ae82309a/Zaid-Al-Bawardi"
"47",NA,"2022 Saudi Arabia","WCQ — AFC M","Ameen Bokhari","GK","24",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/32a9aac0/Ameen-Bokhari"
"48",NA,"2022 Saudi Arabia","WCQ — AFC M","Asiri Haitham","FW","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/9c08d5cd/Asiri-Haitham"
"49",NA,"2022 Saudi Arabia","WCQ — AFC M","Moteb Al-Harbi","DF","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/1d88554c/Moteb-Al-Harbi"
"50",NA,"2022 Saudi Arabia","WCQ — AFC M","Ali Lajami","DF","25",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/46f7ab4f/Ali-Lajami"
"51",NA,"2022 Saudi Arabia","WCQ — AFC M","Abdurahman Al-Obaid","DF","28",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/bd016f97/Abdurahman-Al-Obaid"
"52",NA,"2022 Saudi Arabia","WCQ — AFC M","Abdullah Al-Owaishir","GK","30",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/6a1fe279/Abdullah-Al-Owaishir"
"53",NA,"2022 Saudi Arabia","WCQ — AFC M","Hussain Qassem","DF","24",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d1c15013/Hussain-Qassem"
"54",NA,"2022 Saudi Arabia","WCQ — AFC M","Mohammed Al Sahli","MF","29",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/53a6565b/Mohammed-Al-Sahli"
"55",NA,"2022 Saudi Arabia","WCQ — AFC M","Abdullah Al-Shamekh","DF","28",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d4aeee27/Abdullah-Al-Shamekh"
