"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Cameroon","WCQ — CAF M","Michael Ngadeu-Ngadjui","DF","31",8,8,750,8.3,2,1,2,0,0,0,0,0.24,0.12,0.36,0.24,0.36,"https://fbref.com/en/players/fc1cf07a/Michael-Ngadeu-Ngadjui"
"2",NA,"2022 Cameroon","WCQ — CAF M","Martin Hongla","MF","23",8,8,605,6.7,0,2,0,0,0,0,0,0,0.3,0.3,0,0.3,"https://fbref.com/en/players/b85bf253/Martin-Hongla"
"3",NA,"2022 Cameroon","WCQ — CAF M","Karl Toko Ekambi","FW,MF","29",8,7,565,6.3,3,0,3,0,0,0,0,0.48,0,0.48,0.48,0.48,"https://fbref.com/en/players/5ceba7fc/Karl-Toko-Ekambi"
"4",NA,"2022 Cameroon","WCQ — CAF M","Vincent Aboubakar","FW","30",8,7,441,4.9,2,0,1,1,1,1,0,0.41,0,0.41,0.2,0.2,"https://fbref.com/en/players/8637e09a/Vincent-Aboubakar"
"5",NA,"2022 Cameroon","WCQ — CAF M","Moumi Ngamaleu","MF,FW","27",6,6,428,4.8,1,3,0,1,1,0,0,0.21,0.63,0.84,0,0.63,"https://fbref.com/en/players/0193a8bf/Moumi-Ngamaleu"
"6",NA,"2022 Cameroon","WCQ — CAF M","Collins Fai","DF,MF","29",6,5,506,5.6,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/46e58246/Collins-Fai"
"7",NA,"2022 Cameroon","WCQ — CAF M","Andre-Frank Zambo Anguissa","MF","26",6,5,430,4.8,1,0,1,0,0,1,0,0.21,0,0.21,0.21,0.21,"https://fbref.com/en/players/6bb2c084/Andre-Frank-Zambo-Anguissa"
"8",NA,"2022 Cameroon","WCQ — CAF M","Nouhou Tolo","DF","24",6,5,422,4.7,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/0796512f/Nouhou-Tolo"
"9",NA,"2022 Cameroon","WCQ — CAF M","Eric Maxim Choupo-Moting","FW,MF","32",6,5,350,3.9,3,0,3,0,0,0,0,0.77,0,0.77,0.77,0.77,"https://fbref.com/en/players/0e6bc38c/Eric-Maxim-Choupo-Moting"
"10",NA,"2022 Cameroon","WCQ — CAF M","André Onana","GK","25",4,4,390,4.3,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/e9c0c1b2/Andre-Onana"
"11",NA,"2022 Cameroon","WCQ — CAF M","Samuel Oum Gouet","MF","24",4,4,371,4.1,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/b82359be/Samuel-Oum-Gouet"
"12",NA,"2022 Cameroon","WCQ — CAF M","Devis Epassy","GK","28",4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e171b085/Devis-Epassy"
"13",NA,"2022 Cameroon","WCQ — CAF M","Harold Moukoudi","DF","24",4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/5f26e0c5/Harold-Moukoudi"
"14",NA,"2022 Cameroon","WCQ — CAF M","Olivier Mbaizo","DF,MF","24",4,3,330,3.7,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f6315619/Olivier-Mbaizo"
"15",NA,"2022 Cameroon","WCQ — CAF M","Jean-Charles Castelletto","DF","27",2,2,210,2.3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e0f3a1f6/Jean-Charles-Castelletto"
"16",NA,"2022 Cameroon","WCQ — CAF M","Pierre Kunde","MF","26",5,2,184,2,0,1,0,0,0,0,0,0,0.49,0.49,0,0.49,"https://fbref.com/en/players/9ceb7642/Pierre-Kunde"
"17",NA,"2022 Cameroon","WCQ — CAF M","Léandre Tawamba","FW","32",4,1,191,2.1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/dcd160e4/Leandre-Tawamba"
"18",NA,"2022 Cameroon","WCQ — CAF M","Christian Bassogog","FW","26",5,1,187,2.1,2,0,2,0,0,1,0,0.96,0,0.96,0.96,0.96,"https://fbref.com/en/players/395cd1d9/Christian-Bassogog"
"19",NA,"2022 Cameroon","WCQ — CAF M","Jean Onana","MF","22",3,1,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/b5bb8188/Jean-Onana"
"20",NA,"2022 Cameroon","WCQ — CAF M","Gaël Ondoua","MF","26",2,1,116,1.3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/7c41b738/Gael-Ondoua"
"21",NA,"2022 Cameroon","WCQ — CAF M","Jean-Claude Billong","DF","28",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a3e1d20d/Jean-Claude-Billong"
"22",NA,"2022 Cameroon","WCQ — CAF M","Joyskim Dawa","DF","25",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1784488a/Joyskim-Dawa"
"23",NA,"2022 Cameroon","WCQ — CAF M","Jérôme Onguéné","DF","24",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e81f0356/Jerome-Onguene"
"24",NA,"2022 Cameroon","WCQ — CAF M","Duplexe Tchamba","DF","23",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/75926036/Duplexe-Tchamba"
"25",NA,"2022 Cameroon","WCQ — CAF M","Ambroise Oyongo","DF","30",1,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e3e05edf/Ambroise-Oyongo"
"26",NA,"2022 Cameroon","WCQ — CAF M","Stéphane Bahoken","FW","29",5,0,145,1.6,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/5046b7d4/Stephane-Bahoken"
"27",NA,"2022 Cameroon","WCQ — CAF M","James Lea Siliki","FW,MF","25",5,0,125,1.4,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/7cf431a5/James-Lea-Siliki"
"28",NA,"2022 Cameroon","WCQ — CAF M","Yvan Neyou","MF","25",2,0,71,0.8,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/0ad37003/Yvan-Neyou"
"29",NA,"2022 Cameroon","WCQ — CAF M","Ignatius Ganago","FW","22",3,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/23c63b7f/Ignatius-Ganago"
"30",NA,"2022 Cameroon","WCQ — CAF M","Kévin Soni","MF","23",1,0,45,0.5,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/6435143e/Kevin-Soni"
"31",NA,"2022 Cameroon","WCQ — CAF M","John Mary","FW","28",1,0,30,0.3,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/28fa80da/John-Mary"
"32",NA,"2022 Cameroon","WCQ — CAF M","Arnaud Djoum","MF","32",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/91e1550b/Arnaud-Djoum"
"33",NA,"2022 Cameroon","WCQ — CAF M","Jeando Fuchs","MF","24",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/1d7c48df/Jeando-Fuchs"
"34",NA,"2022 Cameroon","WCQ — CAF M","Lambert Gueme Araina","FW","23",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b2639d50/Lambert-Gueme-Araina"
"35",NA,"2022 Cameroon","WCQ — CAF M","Simon Omossola","GK","23",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5028c803/Simon-Omossola"
"36",NA,"2022 Cameroon","WCQ — CAF M","Veliče Šumulikoski","MF","40",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/08d40fae/Velice-Sumulikoski"
