"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Ghana","WCQ — CAF M","Daniel Amartey","DF","27",7,7,630,7,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/1a4ef233/Daniel-Amartey"
"2",NA,"2022 Ghana","WCQ — CAF M","Alexander Djiku","DF","27",7,7,613,6.8,0,0,0,0,0,3,0,0,0,0,0,0,"https://fbref.com/en/players/43e7a164/Alexander-Djiku"
"3",NA,"2022 Ghana","WCQ — CAF M","Jordan Ayew","FW,MF","30",7,7,538,6,0,1,0,0,0,0,0,0,0.17,0.17,0,0.17,"https://fbref.com/en/players/da052c14/Jordan-Ayew"
"4",NA,"2022 Ghana","WCQ — CAF M","Jojo Wollacott","GK","25",6,6,540,6,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/06001856/Jojo-Wollacott"
"5",NA,"2022 Ghana","WCQ — CAF M","Iddrisu Baba","MF","26",8,6,529,5.9,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/bfd381b3/Iddrisu-Baba"
"6",NA,"2022 Ghana","WCQ — CAF M","Kudus Mohammed","MF","21",6,6,437,4.9,1,0,1,0,0,1,0,0.21,0,0.21,0.21,0.21,"https://fbref.com/en/players/b62878a5/Kudus-Mohammed"
"7",NA,"2022 Ghana","WCQ — CAF M","Baba Rahman","DF","27",5,5,450,5,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,"https://fbref.com/en/players/e4086af3/Baba-Rahman"
"8",NA,"2022 Ghana","WCQ — CAF M","André Ayew","MF,FW","32",6,5,420,4.7,3,0,2,1,1,1,0,0.64,0,0.64,0.43,0.43,"https://fbref.com/en/players/5dbefa9d/Andre-Ayew"
"9",NA,"2022 Ghana","WCQ — CAF M","Kamaldeen Sulemana","MF","19",5,5,367,4.1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a62f8bf1/Kamaldeen-Sulemana"
"10",NA,"2022 Ghana","WCQ — CAF M","Thomas Partey","MF","28",4,4,360,4,3,0,3,0,0,1,0,0.75,0,0.75,0.75,0.75,"https://fbref.com/en/players/529f49ab/Thomas-Partey"
"11",NA,"2022 Ghana","WCQ — CAF M","Andy Yiadom","DF","30",4,3,315,3.5,0,1,0,0,0,1,0,0,0.29,0.29,0,0.29,"https://fbref.com/en/players/be950e35/Andy-Yiadom"
"12",NA,"2022 Ghana","WCQ — CAF M","Wakaso","MF","31",4,3,279,3.1,1,0,1,0,0,1,0,0.32,0,0.32,0.32,0.32,"https://fbref.com/en/players/999908af/Wakaso"
"13",NA,"2022 Ghana","WCQ — CAF M","Gideon Mensah","DF","23",3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,"https://fbref.com/en/players/9bdd8118/Gideon-Mensah"
"14",NA,"2022 Ghana","WCQ — CAF M","Jonathan Mensah","DF","31",3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8087e6cb/Jonathan-Mensah"
"15",NA,"2022 Ghana","WCQ — CAF M","Abdul Fatawu Issahaku","FW,MF","17",4,3,240,2.7,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/bceda5ff/Abdul-Fatawu-Issahaku"
"16",NA,"2022 Ghana","WCQ — CAF M","Denis Odoi","DF","33",2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f7750aa0/Denis-Odoi"
"17",NA,"2022 Ghana","WCQ — CAF M","Richard Ofori","GK","28",2,2,167,1.9,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/24cb4b6b/Richard-Ofori"
"18",NA,"2022 Ghana","WCQ — CAF M","Felix Afena-Gyan","MF,FW","19",2,2,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/0154d290/Felix-Afena-Gyan"
"19",NA,"2022 Ghana","WCQ — CAF M","Benjamin Tetteh","FW","24",2,1,117,1.3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/91f04b44/Benjamin-Tetteh"
"20",NA,"2022 Ghana","WCQ — CAF M","Yaw Yeboah","MF","24",3,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/36292031/Yaw-Yeboah"
"21",NA,"2022 Ghana","WCQ — CAF M","Emmanuel Lomotey","MF","24",2,1,111,1.2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/184ea16a/Emmanuel-Lomotey"
"22",NA,"2022 Ghana","WCQ — CAF M","Joseph Aidoo","DF","26",2,1,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/18abe173/Joseph-Aidoo"
"23",NA,"2022 Ghana","WCQ — CAF M","Abdul Fatawu Mohammed","DF","29",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/38ea2a9e/Abdul-Fatawu-Mohammed"
"24",NA,"2022 Ghana","WCQ — CAF M","Majeed Ashimeru","MF","24",1,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/552e00b9/Majeed-Ashimeru"
"25",NA,"2022 Ghana","WCQ — CAF M","Richmond Boakye","FW","29",2,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/27f0fcda/Richmond-Boakye"
"26",NA,"2022 Ghana","WCQ — CAF M","Joel Fameyeh","MF","24",2,1,60,0.7,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/85df40cc/Joel-Fameyeh"
"27",NA,"2022 Ghana","WCQ — CAF M","Jeffrey Schlupp","MF","29",1,1,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/3312f911/Jeffrey-Schlupp"
"28",NA,"2022 Ghana","WCQ — CAF M","Daniel Kyereh","FW,MF","25",7,0,253,2.8,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/2770726a/Daniel-Kyereh"
"29",NA,"2022 Ghana","WCQ — CAF M","Elisha Owusu","MF","24",1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e2781082/Elisha-Owusu"
"30",NA,"2022 Ghana","WCQ — CAF M","Kwame Opoku","FW","22",1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/10d47c02/Kwame-Opoku"
"31",NA,"2022 Ghana","WCQ — CAF M","Osman Bukari","MF","23",2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/eab85789/Osman-Bukari"
