"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Switzerland","WCQ — UEFA M","Yann Sommer","GK","33",8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/420c18a1/Yann-Sommer"
"2",NA,"2022 Switzerland","WCQ — UEFA M","Remo Freuler","MF","29",7,7,600,6.7,1,0,1,0,0,1,0,0.15,0,0.15,0.15,0.15,"https://fbref.com/en/players/98d2c2c4/Remo-Freuler"
"3",NA,"2022 Switzerland","WCQ — UEFA M","Ricardo Rodríguez","DF","29",7,7,535,5.9,0,1,0,0,0,0,0,0,0.17,0.17,0,0.17,"https://fbref.com/en/players/7f78ad23/Ricardo-Rodriguez"
"4",NA,"2022 Switzerland","WCQ — UEFA M","Nico Elvedi","DF","25",6,6,540,6,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/48035304/Nico-Elvedi"
"5",NA,"2022 Switzerland","WCQ — UEFA M","Silvan Widmer","DF,MF","28",7,6,519,5.8,1,0,1,0,0,0,0,0.17,0,0.17,0.17,0.17,"https://fbref.com/en/players/f68b64fc/Silvan-Widmer"
"6",NA,"2022 Switzerland","WCQ — UEFA M","Manuel Akanji","DF","26",6,6,502,5.6,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/89ac64a6/Manuel-Akanji"
"7",NA,"2022 Switzerland","WCQ — UEFA M","Xherdan Shaqiri","MF","30",6,6,484,5.4,1,4,1,0,0,0,0,0.19,0.74,0.93,0.19,0.93,"https://fbref.com/en/players/6421ec64/Xherdan-Shaqiri"
"8",NA,"2022 Switzerland","WCQ — UEFA M","Denis Zakaria","MF","25",7,4,424,4.7,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/384d58d9/Denis-Zakaria"
"9",NA,"2022 Switzerland","WCQ — UEFA M","Ruben Vargas","MF","23",7,4,399,4.4,1,0,1,0,0,0,0,0.23,0,0.23,0.23,0.23,"https://fbref.com/en/players/6ecbddf6/Ruben-Vargas"
"10",NA,"2022 Switzerland","WCQ — UEFA M","Renato Steffen","MF,FW","30",6,4,348,3.9,1,1,1,0,0,0,0,0.26,0.26,0.52,0.26,0.52,"https://fbref.com/en/players/dd669209/Renato-Steffen"
