"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 France","WCQ — UEFA M","Hugo Lloris","GK","35",8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8f62b6ee/Hugo-Lloris"
"2",NA,"2022 France","WCQ — UEFA M","Antoine Griezmann","MF,FW","30",8,8,648,7.2,6,1,5,1,1,0,0,0.83,0.14,0.97,0.69,0.83,"https://fbref.com/en/players/df69b544/Antoine-Griezmann"
"3",NA,"2022 France","WCQ — UEFA M","Adrien Rabiot","MF","26",7,6,567,6.3,1,1,1,0,0,0,0,0.16,0.16,0.32,0.16,0.32,"https://fbref.com/en/players/8794e251/Adrien-Rabiot"
"4",NA,"2022 France","WCQ — UEFA M","Kylian Mbappé","FW,MF","23",6,5,464,5.2,5,2,5,0,1,0,0,0.97,0.39,1.36,0.97,1.36,"https://fbref.com/en/players/42fd9c7f/Kylian-Mbappe"
"5",NA,"2022 France","WCQ — UEFA M","Presnel Kimpembe","DF","26",5,5,449,5,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/aef6e670/Presnel-Kimpembe"
"6",NA,"2022 France","WCQ — UEFA M","Paul Pogba","MF","28",6,5,446,5,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/867239d3/Paul-Pogba"
"7",NA,"2022 France","WCQ — UEFA M","Lucas Digne","DF,MF","28",4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1b84dbe1/Lucas-Digne"
"8",NA,"2022 France","WCQ — UEFA M","Raphaël Varane","DF","28",4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/9f8e9423/Raphael-Varane"
"9",NA,"2022 France","WCQ — UEFA M","Kurt Zouma","DF","27",4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ce4246f5/Kurt-Zouma"
"10",NA,"2022 France","WCQ — UEFA M","Leo Dubois","DF,MF","27",5,4,329,3.7,0,1,0,0,0,0,0,0,0.27,0.27,0,0.27,"https://fbref.com/en/players/ff0ab48c/Leo-Dubois"
"11",NA,"2022 France","WCQ — UEFA M","Kingsley Coman","MF","25",7,4,311,3.5,0,2,0,0,0,0,0,0,0.58,0.58,0,0.58,"https://fbref.com/en/players/042e8a49/Kingsley-Coman"
"12",NA,"2022 France","WCQ — UEFA M","Karim Benzema","FW","34",5,3,296,3.3,3,1,3,0,0,1,0,0.91,0.3,1.22,0.91,1.22,"https://fbref.com/en/players/70d74ece/Karim-Benzema"
"13",NA,"2022 France","WCQ — UEFA M","Lucas Hernández","DF","25",3,3,258,2.9,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/c3ee18ef/Lucas-Hernandez"
"14",NA,"2022 France","WCQ — UEFA M","Anthony Martial","FW,MF","26",5,3,229,2.5,1,1,1,0,0,0,0,0.39,0.39,0.79,0.39,0.79,"https://fbref.com/en/players/8b788c01/Anthony-Martial"
"15",NA,"2022 France","WCQ — UEFA M","Thomas Lemar","MF,FW","26",3,3,224,2.5,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/4dbd0916/Thomas-Lemar"
"16",NA,"2022 France","WCQ — UEFA M","Jules Koundé","DF","23",3,3,196,2.2,0,0,0,0,0,0,1,0,0,0,0,0,"https://fbref.com/en/players/4d1666ff/Jules-Kounde"
"17",NA,"2022 France","WCQ — UEFA M","Aurélien Tchouaméni","MF","22",5,2,238,2.6,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/4f255115/Aurelien-Tchouameni"
"18",NA,"2022 France","WCQ — UEFA M","Benjamin Pavard","DF","25",4,2,237,2.6,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/45a03961/Benjamin-Pavard"
"19",NA,"2022 France","WCQ — UEFA M","Theo Hernández","MF,DF","24",2,2,180,2,0,2,0,0,0,0,0,0,1,1,0,1,"https://fbref.com/en/players/d4c9725f/Theo-Hernandez"
