"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 United States","WCQ — CONCACAF M","Tyler Adams","MF","22",13,12,1019,11.3,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/2b09d998/Tyler-Adams"
"2",NA,"2022 United States","WCQ — CONCACAF M","Antonee Robinson","DF","24",13,11,1062,11.8,2,3,2,0,0,0,0,0.17,0.25,0.42,0.17,0.42,"https://fbref.com/en/players/289601e6/Antonee-Robinson"
"3",NA,"2022 United States","WCQ — CONCACAF M","Miles Robinson","DF","24",11,11,962,10.7,0,0,0,0,0,3,1,0,0,0,0,0,"https://fbref.com/en/players/782a95d9/Miles-Robinson"
"4",NA,"2022 United States","WCQ — CONCACAF M","Yunus Musah","MF","19",10,10,732,8.1,0,1,0,0,0,0,0,0,0.12,0.12,0,0.12,"https://fbref.com/en/players/b51b1b9c/Yunus-Musah"
"5",NA,"2022 United States","WCQ — CONCACAF M","Walker Zimmerman","DF","28",10,9,815,9.1,1,1,1,0,0,0,0,0.11,0.11,0.22,0.11,0.22,"https://fbref.com/en/players/220fa883/Walker-Zimmerman"
"6",NA,"2022 United States","WCQ — CONCACAF M","Matt Turner","GK","27",8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/4a51ba65/Matt-Turner"
"7",NA,"2022 United States","WCQ — CONCACAF M","Ricardo Pepi","FW","19",10,8,641,7.1,3,1,3,0,0,0,0,0.42,0.14,0.56,0.42,0.56,"https://fbref.com/en/players/a2b1ed42/Ricardo-Pepi"
"8",NA,"2022 United States","WCQ — CONCACAF M","Timothy Weah","FW","21",9,8,581,6.5,1,1,1,0,0,2,0,0.15,0.15,0.31,0.15,0.31,"https://fbref.com/en/players/8eec784d/Timothy-Weah"
"9",NA,"2022 United States","WCQ — CONCACAF M","Brenden Aaronson","FW","21",11,7,654,7.3,2,1,2,0,0,0,0,0.28,0.14,0.41,0.28,0.41,"https://fbref.com/en/players/5bc43860/Brenden-Aaronson"
"10",NA,"2022 United States","WCQ — CONCACAF M","Weston McKennie","MF","23",7,7,623,6.9,2,0,2,0,0,2,0,0.29,0,0.29,0.29,0.29,"https://fbref.com/en/players/01c3aff5/Weston-McKennie"
"11",NA,"2022 United States","WCQ — CONCACAF M","Christian Pulisic","FW","23",10,7,614,6.8,5,0,3,2,2,1,0,0.73,0,0.73,0.44,0.44,"https://fbref.com/en/players/1bf33a9a/Christian-Pulisic"
"12",NA,"2022 United States","WCQ — CONCACAF M","Kellyn Acosta","MF","26",13,6,678,7.5,0,1,0,0,0,0,0,0,0.13,0.13,0,0.13,"https://fbref.com/en/players/ece10cfe/Kellyn-Acosta"
"13",NA,"2022 United States","WCQ — CONCACAF M","Zack Steffen","GK","26",6,6,540,6,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/42130443/Zack-Steffen"
"14",NA,"2022 United States","WCQ — CONCACAF M","Sergiño Dest","DF","21",6,6,419,4.7,1,1,1,0,0,0,0,0.21,0.21,0.43,0.21,0.43,"https://fbref.com/en/players/5976f83e/Sergino-Dest"
"15",NA,"2022 United States","WCQ — CONCACAF M","DeAndre Yedlin","DF","28",9,5,502,5.6,0,1,0,0,0,2,0,0,0.18,0.18,0,0.18,"https://fbref.com/en/players/ae0a7ddf/DeAndre-Yedlin"
