"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Denmark","WCQ — UEFA M","Kasper Schmeichel","GK","35",10,10,900,10,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/53af52f3/Kasper-Schmeichel"
"2",NA,"2022 Denmark","WCQ — UEFA M","Andreas Christensen","DF,MF","25",9,9,810,9,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/1cb49278/Andreas-Christensen"
"3",NA,"2022 Denmark","WCQ — UEFA M","Joakim Mæhle","DF,MF","24",9,8,760,8.4,5,0,5,0,0,0,0,0.59,0,0.59,0.59,0.59,"https://fbref.com/en/players/c459a650/Joakim-Maehle"
"4",NA,"2022 Denmark","WCQ — UEFA M","Simon Kjær","DF","32",9,8,689,7.7,2,0,1,1,1,0,0,0.26,0,0.26,0.13,0.13,"https://fbref.com/en/players/8b8a56ce/Simon-Kjaer"
"5",NA,"2022 Denmark","WCQ — UEFA M","Daniel Wass","MF,DF","32",8,8,683,7.6,1,2,1,0,0,1,0,0.13,0.26,0.4,0.13,0.4,"https://fbref.com/en/players/d83bbc54/Daniel-Wass"
"6",NA,"2022 Denmark","WCQ — UEFA M","Andreas Skov Olsen","FW","22",10,7,577,6.4,5,3,5,0,0,0,0,0.78,0.47,1.25,0.78,1.25,"https://fbref.com/en/players/c50cee19/Andreas-Skov-Olsen"
"7",NA,"2022 Denmark","WCQ — UEFA M","Yussuf Poulsen","FW,MF","27",8,7,520,5.8,1,1,1,0,0,0,0,0.17,0.17,0.35,0.17,0.35,"https://fbref.com/en/players/d2416c2e/Yussuf-Poulsen"
"8",NA,"2022 Denmark","WCQ — UEFA M","Thomas Delaney","MF","30",7,6,515,5.7,1,3,1,0,0,0,0,0.17,0.52,0.7,0.17,0.7,"https://fbref.com/en/players/fe641c1a/Thomas-Delaney"
"9",NA,"2022 Denmark","WCQ — UEFA M","Pierre Højbjerg","MF","26",7,6,508,5.6,1,2,1,0,0,1,0,0.18,0.35,0.53,0.18,0.53,"https://fbref.com/en/players/8b04d6c1/Pierre-Hojbjerg"
"10",NA,"2022 Denmark","WCQ — UEFA M","Mikkel Damsgaard","FW","21",6,5,432,4.8,2,5,2,0,0,0,0,0.42,1.04,1.46,0.42,1.46,"https://fbref.com/en/players/215f3907/Mikkel-Damsgaard"
"11",NA,"2022 Denmark","WCQ — UEFA M","Christian Nørgaard","MF,DF","27",9,4,355,3.9,1,0,1,0,0,2,0,0.25,0,0.25,0.25,0.25,"https://fbref.com/en/players/df0a4c90/Christian-Norgaard"
"12",NA,"2022 Denmark","WCQ — UEFA M","Joachim Andersen","DF","25",6,3,336,3.7,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e34fc66d/Joachim-Andersen"
"13",NA,"2022 Denmark","WCQ — UEFA M","Jannik Vestergaard","DF","29",4,3,315,3.5,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1900032e/Jannik-Vestergaard"
"14",NA,"2022 Denmark","WCQ — UEFA M","Jens Stryger Larsen","DF,MF","30",8,3,309,3.4,1,1,1,0,0,0,0,0.29,0.29,0.58,0.29,0.58,"https://fbref.com/en/players/f91e81c9/Jens-Stryger-Larsen"
