"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Tunisia","WCQ — CAF M","Ali Maâloul","DF,MF","32",8,8,720,8,1,1,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25,"https://fbref.com/en/players/c69ff23a/Ali-Maaloul"
"2",NA,"2022 Tunisia","WCQ — CAF M","Aïssa Laïdouni","MF","25",8,8,690,7.7,1,0,1,0,0,1,0,0.13,0,0.13,0.13,0.13,"https://fbref.com/en/players/22798128/Aissa-Laidouni"
"3",NA,"2022 Tunisia","WCQ — CAF M","Farouk Ben Mustapha","GK","32",6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/7b3c3cdf/Farouk-Ben-Mustapha"
"4",NA,"2022 Tunisia","WCQ — CAF M","Dylan Bronn","DF","26",6,6,540,6,1,0,1,0,0,1,0,0.17,0,0.17,0.17,0.17,"https://fbref.com/en/players/edd81e2a/Dylan-Bronn"
"5",NA,"2022 Tunisia","WCQ — CAF M","Naïm Sliti","FW,MF","29",6,6,477,5.3,0,2,0,0,0,0,0,0,0.38,0.38,0,0.38,"https://fbref.com/en/players/2e0367a6/Naim-Sliti"
"6",NA,"2022 Tunisia","WCQ — CAF M","Seifeddine Jaziri","FW","28",7,5,442,4.9,1,0,1,0,0,1,0,0.2,0,0.2,0.2,0.2,"https://fbref.com/en/players/712bae97/Seifeddine-Jaziri"
"7",NA,"2022 Tunisia","WCQ — CAF M","Yassine Meriah","DF","28",5,5,434,4.8,0,1,0,0,0,1,0,0,0.21,0.21,0,0.21,"https://fbref.com/en/players/3640af28/Yassine-Meriah"
"8",NA,"2022 Tunisia","WCQ — CAF M","Wahbi Khazri","FW","30",6,5,410,4.6,3,1,1,2,3,2,0,0.66,0.22,0.88,0.22,0.44,"https://fbref.com/en/players/2677a1de/Wahbi-Khazri"
"9",NA,"2022 Tunisia","WCQ — CAF M","Ferjani Sassi","MF","29",5,5,379,4.2,0,0,0,0,0,3,0,0,0,0,0,0,"https://fbref.com/en/players/35bf6065/Ferjani-Sassi"
"10",NA,"2022 Tunisia","WCQ — CAF M","Montassar Talbi","DF","23",6,4,378,4.2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a4a44eb0/Montassar-Talbi"
"11",NA,"2022 Tunisia","WCQ — CAF M","Ellyes Skhiri","MF","26",5,4,365,4.1,2,0,2,0,0,0,0,0.49,0,0.49,0.49,0.49,"https://fbref.com/en/players/c2211709/Ellyes-Skhiri"
"12",NA,"2022 Tunisia","WCQ — CAF M","Mohamed Dräger","DF,MF","25",3,3,246,2.7,1,0,1,0,0,0,0,0.37,0,0.37,0.37,0.37,"https://fbref.com/en/players/8954fddc/Mohamed-Drager"
"13",NA,"2022 Tunisia","WCQ — CAF M","Wajdi Kechrida","DF","26",3,3,225,2.5,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/11962fe7/Wajdi-Kechrida"
"14",NA,"2022 Tunisia","WCQ — CAF M","Anis Ben Slimane","MF,FW","20",6,2,269,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,"https://fbref.com/en/players/9ade9ce1/Anis-Ben-Slimane"
"15",NA,"2022 Tunisia","WCQ — CAF M","Mohamed Ali Ben Romdhane","MF","22",7,2,262,2.9,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/b4db6d4d/Mohamed-Ali-Ben-Romdhane"
"16",NA,"2022 Tunisia","WCQ — CAF M","Hamza Mathlouthi","DF","29",4,2,249,2.8,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/2edbf707/Hamza-Mathlouthi"
"17",NA,"2022 Tunisia","WCQ — CAF M","Youssef Msakni","MF,FW","31",4,2,240,2.7,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/0083e371/Youssef-Msakni"
"18",NA,"2022 Tunisia","WCQ — CAF M","Ghaylène Chaalali","MF","27",4,2,185,2.1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/fb3f920a/Ghaylene-Chaalali"
"19",NA,"2022 Tunisia","WCQ — CAF M","Bechir Ben Saïd","GK","29",2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/a917c2af/Bechir-Ben-Said"
"20",NA,"2022 Tunisia","WCQ — CAF M","Nader Ghandri","DF","26",2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/7f1c7219/Nader-Ghandri"
"21",NA,"2022 Tunisia","WCQ — CAF M","Fakhreddine Ben Youssef","FW","30",4,2,141,1.6,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ca6f10e6/Fakhreddine-Ben-Youssef"
"22",NA,"2022 Tunisia","WCQ — CAF M","Saîf-Eddine Khaoui","MF,FW","26",3,2,95,1.1,0,1,0,0,0,0,0,0,0.95,0.95,0,0.95,"https://fbref.com/en/players/796b1c41/Saif-Eddine-Khaoui"
"23",NA,"2022 Tunisia","WCQ — CAF M","Hamza Rafia","FW","22",4,1,105,1.2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/6b587d3d/Hamza-Rafia"
"24",NA,"2022 Tunisia","WCQ — CAF M","Saad Bguir","MF","27",2,1,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/020e13ff/Saad-Bguir"
"25",NA,"2022 Tunisia","WCQ — CAF M","Taha Yassine Khenissi","FW","30",2,0,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/44d6aedb/Taha-Yassine-Khenissi"
"26",NA,"2022 Tunisia","WCQ — CAF M","Sebastian Tounekti","FW","19",1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/584fee1f/Sebastian-Tounekti"
"27",NA,"2022 Tunisia","WCQ — CAF M","Mortadha Ben Ouannes","MF","27",1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1798891a/Mortadha-Ben-Ouannes"
"28",NA,"2022 Tunisia","WCQ — CAF M","Bilel Ifa","DF","31",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ddd1a27c/Bilel-Ifa"
"29",NA,"2022 Tunisia","WCQ — CAF M","Hannibal Mejbri","MF","19",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ca22ccb0/Hannibal-Mejbri"
"30",NA,"2022 Tunisia","WCQ — CAF M","Ali Abdi","DF,MF","28",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ad7cdb35/Ali-Abdi"
"31",NA,"2022 Tunisia","WCQ — CAF M","Aimen Dahmen","GK","25",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/8bf49030/Aimen-Dahmen"
"32",NA,"2022 Tunisia","WCQ — CAF M","Oussama Haddadi","DF","30",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ec400194/Oussama-Haddadi"
"33",NA,"2022 Tunisia","WCQ — CAF M","Mouez Hassen","GK","26",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/fd481f3f/Mouez-Hassen"
"34",NA,"2022 Tunisia","WCQ — CAF M","Issam Jebali","FW,MF","30",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/4b751020/Issam-Jebali"
"35",NA,"2022 Tunisia","WCQ — CAF M","Ali Jemel","GK","31",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/eba6364d/Ali-Jemel"
"36",NA,"2022 Tunisia","WCQ — CAF M","Mootaz Zemzemi","MF","22",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/242b350c/Mootaz-Zemzemi"
