"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 England","WCQ — UEFA M","John Stones","DF","27",9,8,662,7.4,1,1,1,0,0,1,0,0.14,0.14,0.27,0.14,0.27,"https://fbref.com/en/players/5eecec3d/John-Stones"
"2",NA,"2022 England","WCQ — UEFA M","Harry Kane","FW","28",8,7,585,6.5,12,2,8,4,4,1,0,1.85,0.31,2.15,1.23,1.54,"https://fbref.com/en/players/21a66f6a/Harry-Kane"
"3",NA,"2022 England","WCQ — UEFA M","Raheem Sterling","FW,MF","27",7,7,555,6.2,2,2,2,0,0,1,0,0.32,0.32,0.65,0.32,0.65,"https://fbref.com/en/players/b400bde0/Raheem-Sterling"
"4",NA,"2022 England","WCQ — UEFA M","Kalvin Phillips","MF","26",7,7,537,6,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/4f565d77/Kalvin-Phillips"
"5",NA,"2022 England","WCQ — UEFA M","Kyle Walker","DF","31",6,6,540,6,0,1,0,0,0,1,0,0,0.17,0.17,0,0.17,"https://fbref.com/en/players/86dd77d1/Kyle-Walker"
"6",NA,"2022 England","WCQ — UEFA M","Mason Mount","MF,FW","23",8,6,535,5.9,1,2,1,0,0,0,0,0.17,0.34,0.5,0.17,0.5,"https://fbref.com/en/players/9674002f/Mason-Mount"
"7",NA,"2022 England","WCQ — UEFA M","Phil Foden","MF,FW","21",7,6,497,5.5,0,4,0,0,0,0,0,0,0.72,0.72,0,0.72,"https://fbref.com/en/players/ed1e53f3/Phil-Foden"
"8",NA,"2022 England","WCQ — UEFA M","Harry Maguire","DF","28",6,6,495,5.5,4,0,4,0,0,1,0,0.73,0,0.73,0.73,0.73,"https://fbref.com/en/players/d8931174/Harry-Maguire"
"9",NA,"2022 England","WCQ — UEFA M","Declan Rice","MF","23",5,5,447,5,1,0,1,0,0,1,0,0.2,0,0.2,0.2,0.2,"https://fbref.com/en/players/1c7012b8/Declan-Rice"
"10",NA,"2022 England","WCQ — UEFA M","Ben Chilwell","DF,MF","25",5,4,405,4.5,1,1,1,0,0,0,0,0.22,0.22,0.44,0.22,0.44,"https://fbref.com/en/players/d2424d1b/Ben-Chilwell"
"11",NA,"2022 England","WCQ — UEFA M","Conor Coady","DF","28",4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/2928dca2/Conor-Coady"
"12",NA,"2022 England","WCQ — UEFA M","Jordan Pickford","GK","27",4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/4806ec67/Jordan-Pickford"
"13",NA,"2022 England","WCQ — UEFA M","Luke Shaw","DF","26",4,4,360,4,0,2,0,0,0,1,0,0,0.5,0.5,0,0.5,"https://fbref.com/en/players/9c94165b/Luke-Shaw"
