"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Uruguay","WCQ — CONMEBOL M","Diego Godín","DF","35",17,17,1516,16.8,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/fc4f85b1/Diego-Godin"
"2",NA,"2022 Uruguay","WCQ — CONMEBOL M","Rodrigo Bentancur","MF","24",16,16,1223,13.6,1,0,1,0,0,6,0,0.07,0,0.07,0.07,0.07,"https://fbref.com/en/players/3b8674e6/Rodrigo-Bentancur"
"3",NA,"2022 Uruguay","WCQ — CONMEBOL M","Federico Valverde","MF","23",14,14,1229,13.7,2,0,2,0,0,2,0,0.15,0,0.15,0.15,0.15,"https://fbref.com/en/players/0959c2a2/Federico-Valverde"
"4",NA,"2022 Uruguay","WCQ — CONMEBOL M","José María Giménez","DF","27",13,13,1137,12.6,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/f0da930c/Jose-Maria-Gimenez"
"5",NA,"2022 Uruguay","WCQ — CONMEBOL M","Luis Suárez","FW","35",14,12,1106,12.3,8,0,3,5,5,1,0,0.65,0,0.65,0.24,0.24,"https://fbref.com/en/players/a6154613/Luis-Suarez"
"6",NA,"2022 Uruguay","WCQ — CONMEBOL M","Nahitan Nández","DF,MF","26",13,11,914,10.2,0,2,0,0,0,3,0,0,0.2,0.2,0,0.2,"https://fbref.com/en/players/95facda1/Nahitan-Nandez"
"7",NA,"2022 Uruguay","WCQ — CONMEBOL M","Matías Vecino","MF","30",11,11,793,8.8,0,1,0,0,0,2,0,0,0.11,0.11,0,0.11,"https://fbref.com/en/players/44ac04e9/Matias-Vecino"
"8",NA,"2022 Uruguay","WCQ — CONMEBOL M","Fernando Muslera","GK","35",10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a2abe631/Fernando-Muslera"
"9",NA,"2022 Uruguay","WCQ — CONMEBOL M","Matías Viña","DF,MF","24",11,10,826,9.2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/08eb3b58/Matias-Vina"
"10",NA,"2022 Uruguay","WCQ — CONMEBOL M","Martín Cáceres","DF","34",11,8,775,8.6,0,0,0,0,0,3,0,0,0,0,0,0,"https://fbref.com/en/players/e94d79e3/Martin-Caceres"
"11",NA,"2022 Uruguay","WCQ — CONMEBOL M","Brian Rodríguez","MF,FW","21",11,8,574,6.4,0,1,0,0,0,0,0,0,0.16,0.16,0,0.16,"https://fbref.com/en/players/c86041d7/Brian-Rodriguez"
"12",NA,"2022 Uruguay","WCQ — CONMEBOL M","Ronald Araújo","DF","22",9,7,649,7.2,0,1,0,0,0,1,0,0,0.14,0.14,0,0.14,"https://fbref.com/en/players/2bef2bca/Ronald-Araujo"
"13",NA,"2022 Uruguay","WCQ — CONMEBOL M","Giorgian De Arrascaeta","MF,FW","27",8,7,548,6.1,5,0,4,1,1,0,0,0.82,0,0.82,0.66,0.66,"https://fbref.com/en/players/be8d02dd/Giorgian-De-Arrascaeta"
"14",NA,"2022 Uruguay","WCQ — CONMEBOL M","Lucas Torreira","MF","25",11,6,602,6.7,0,1,0,0,0,0,0,0,0.15,0.15,0,0.15,"https://fbref.com/en/players/52611641/Lucas-Torreira"
"15",NA,"2022 Uruguay","WCQ — CONMEBOL M","Nicolás De La Cruz","MF","24",9,6,434,4.8,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8fda5c72/Nicolas-De-La-Cruz"
"16",NA,"2022 Uruguay","WCQ — CONMEBOL M","Edinson Cavani","FW","34",9,5,466,5.2,2,0,2,0,0,1,1,0.39,0,0.39,0.39,0.39,"https://fbref.com/en/players/527f063d/Edinson-Cavani"
"17",NA,"2022 Uruguay","WCQ — CONMEBOL M","Martín Campaña","GK","32",4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a0f2f044/Martin-Campana"
"18",NA,"2022 Uruguay","WCQ — CONMEBOL M","Sebastián Coates","DF","31",4,4,360,4,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/1fbbfbde/Sebastian-Coates"
"19",NA,"2022 Uruguay","WCQ — CONMEBOL M","Sergio Rochet","GK","28",4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/81b99b9e/Sergio-Rochet"
"20",NA,"2022 Uruguay","WCQ — CONMEBOL M","Darwin Núñez","FW","22",8,3,429,4.8,1,0,1,0,0,0,0,0.21,0,0.21,0.21,0.21,"https://fbref.com/en/players/4d77b365/Darwin-Nunez"
"21",NA,"2022 Uruguay","WCQ — CONMEBOL M","Joaquín Piquerez","DF","23",7,3,336,3.7,0,1,0,0,0,0,0,0,0.27,0.27,0,0.27,"https://fbref.com/en/players/46009f44/Joaquin-Piquerez"
"22",NA,"2022 Uruguay","WCQ — CONMEBOL M","Agustín Álvarez Martínez","FW","20",4,3,278,3.1,1,0,1,0,0,0,0,0.32,0,0.32,0.32,0.32,"https://fbref.com/en/players/ab472696/Agustin-Alvarez-Martinez"
"23",NA,"2022 Uruguay","WCQ — CONMEBOL M","Mathías Olivera","DF","24",3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/41c12f75/Mathias-Olivera"
"24",NA,"2022 Uruguay","WCQ — CONMEBOL M","Facundo Pellistri","MF","20",3,3,218,2.4,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/ac7e7b1c/Facundo-Pellistri"
"25",NA,"2022 Uruguay","WCQ — CONMEBOL M","Giovanni González","MF,DF","27",5,2,252,2.8,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/1fc474ae/Giovanni-Gonzalez"
"26",NA,"2022 Uruguay","WCQ — CONMEBOL M","Facundo Torres","MF","21",5,2,239,2.7,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/4de3b2c0/Facundo-Torres"
"27",NA,"2022 Uruguay","WCQ — CONMEBOL M","Jonathan Rodríguez","MF,FW","28",8,2,235,2.6,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/86ca9bca/Jonathan-Rodriguez"
"28",NA,"2022 Uruguay","WCQ — CONMEBOL M","Maxi Gómez","FW","25",6,2,174,1.9,1,0,1,0,0,1,0,0.52,0,0.52,0.52,0.52,"https://fbref.com/en/players/4c2e9442/Maxi-Gomez"
"29",NA,"2022 Uruguay","WCQ — CONMEBOL M","Agustín Oliveros","DF","23",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/b425b366/Agustin-Oliveros"
"30",NA,"2022 Uruguay","WCQ — CONMEBOL M","Diego Rossi","MF","23",1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a81dba8c/Diego-Rossi"
"31",NA,"2022 Uruguay","WCQ — CONMEBOL M","Mauro Arambarri","MF","26",10,0,184,2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/58afe001/Mauro-Arambarri"
"32",NA,"2022 Uruguay","WCQ — CONMEBOL M","Damián Suárez","DF","33",4,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ba5004e1/Damian-Suarez"
"33",NA,"2022 Uruguay","WCQ — CONMEBOL M","David Terans","FW,MF","27",2,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d3d89d8d/David-Terans"
"34",NA,"2022 Uruguay","WCQ — CONMEBOL M","Agustín Canobbio","MF","23",2,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/4f5a2f38/Agustin-Canobbio"
"35",NA,"2022 Uruguay","WCQ — CONMEBOL M","Manuel Ugarte Ribeiro","MF","20",2,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/c9817014/Manuel-Ugarte-Ribeiro"
"36",NA,"2022 Uruguay","WCQ — CONMEBOL M","Fernando Gorriarán","MF","27",3,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/2d53386a/Fernando-Gorriaran"
"37",NA,"2022 Uruguay","WCQ — CONMEBOL M","Gastón Pereiro","FW,MF","26",3,0,31,0.3,1,0,1,0,0,0,0,2.9,0,2.9,2.9,2.9,"https://fbref.com/en/players/7ec7738e/Gaston-Pereiro"
"38",NA,"2022 Uruguay","WCQ — CONMEBOL M","Federico Martínez","MF","25",1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/636d680a/Federico-Martinez"
