"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Morocco","WCQ — CAF M","Nayef Aguerd","DF","25",8,8,720,8,1,0,1,0,0,1,0,0.12,0,0.12,0.12,0.12,"https://fbref.com/en/players/288e1e13/Nayef-Aguerd"
"2",NA,"2022 Morocco","WCQ — CAF M","Yassine Bounou","GK","30",8,8,672,7.5,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/f6798fc3/Yassine-Bounou"
"3",NA,"2022 Morocco","WCQ — CAF M","Sofyan Amrabat","MF","25",8,7,651,7.2,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/5a2cb25d/Sofyan-Amrabat"
"4",NA,"2022 Morocco","WCQ — CAF M","Romain Saïss","DF","31",7,7,630,7,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/9fbbcf39/Romain-Saiss"
"5",NA,"2022 Morocco","WCQ — CAF M","Achraf Hakimi","DF,MF","23",7,7,621,6.9,2,0,2,0,0,0,0,0.29,0,0.29,0.29,0.29,"https://fbref.com/en/players/e42d61c7/Achraf-Hakimi"
"6",NA,"2022 Morocco","WCQ — CAF M","Ryan Mmaee","FW,MF","24",8,7,524,5.8,4,2,3,1,2,0,0,0.69,0.34,1.03,0.52,0.86,"https://fbref.com/en/players/8a56c04c/Ryan-Mmaee"
"7",NA,"2022 Morocco","WCQ — CAF M","Adam Masina","DF,MF","28",7,6,542,6,0,1,0,0,0,1,0,0,0.17,0.17,0,0.17,"https://fbref.com/en/players/de0f152c/Adam-Masina"
"8",NA,"2022 Morocco","WCQ — CAF M","Imran Louza","MF","22",6,6,460,5.1,2,1,1,1,1,0,0,0.39,0.2,0.59,0.2,0.39,"https://fbref.com/en/players/e1df6989/Imran-Louza"
"9",NA,"2022 Morocco","WCQ — CAF M","Aymen Barkok","MF","23",6,6,432,4.8,1,0,1,0,0,1,0,0.21,0,0.21,0.21,0.21,"https://fbref.com/en/players/a2a85828/Aymen-Barkok"
"10",NA,"2022 Morocco","WCQ — CAF M","Ayoub El Kaabi","FW","28",7,5,443,4.9,5,3,5,0,0,0,0,1.02,0.61,1.63,1.02,1.63,"https://fbref.com/en/players/b1bfd1d4/Ayoub-El-Kaabi"
"11",NA,"2022 Morocco","WCQ — CAF M","Ilias Chair","MF","24",5,4,287,3.2,1,0,1,0,0,1,0,0.31,0,0.31,0.31,0.31,"https://fbref.com/en/players/ad7873cb/Ilias-Chair"
"12",NA,"2022 Morocco","WCQ — CAF M","Selim Amallah","MF","25",6,2,291,3.2,2,0,2,0,0,1,0,0.62,0,0.62,0.62,0.62,"https://fbref.com/en/players/00eba9c9/Selim-Amallah"
