"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Brazil","WCQ — CONMEBOL M","Marquinhos","DF","27",14,14,1181,13.1,2,0,2,0,0,3,0,0.15,0,0.15,0.15,0.15,"https://fbref.com/en/players/d5f2f82b/Marquinhos"
"2",NA,"2022 Brazil","WCQ — CONMEBOL M","Danilo","DF","30",13,13,1128,12.5,0,1,0,0,0,0,0,0,0.08,0.08,0,0.08,"https://fbref.com/en/players/94b2001f/Danilo"
"3",NA,"2022 Brazil","WCQ — CONMEBOL M","Lucas Paquetá","MF","24",14,11,955,10.6,3,1,3,0,0,3,0,0.28,0.09,0.38,0.28,0.38,"https://fbref.com/en/players/9b6f7fd5/Lucas-Paqueta"
"4",NA,"2022 Brazil","WCQ — CONMEBOL M","Neymar","FW,MF","29",10,10,900,10,8,8,4,4,4,4,0,0.8,0.8,1.6,0.4,1.2,"https://fbref.com/en/players/69384e5d/Neymar"
"5",NA,"2022 Brazil","WCQ — CONMEBOL M","Thiago Silva","DF","37",11,10,900,10,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/86e7deaf/Thiago-Silva"
"6",NA,"2022 Brazil","WCQ — CONMEBOL M","Alex Sandro","DF","31",10,9,811,9,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/0d82903c/Alex-Sandro"
"7",NA,"2022 Brazil","WCQ — CONMEBOL M","Casemiro","MF","29",9,9,788,8.8,1,0,1,0,0,3,0,0.11,0,0.11,0.11,0.11,"https://fbref.com/en/players/4d224fe8/Casemiro"
"8",NA,"2022 Brazil","WCQ — CONMEBOL M","Alisson","GK","29",8,8,720,8,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/7a2e46a8/Alisson"
"9",NA,"2022 Brazil","WCQ — CONMEBOL M","Éder Militão","DF","24",8,8,700,7.8,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/2784f898/Eder-Militao"
"10",NA,"2022 Brazil","WCQ — CONMEBOL M","Fred","MF","28",8,8,589,6.5,0,1,0,0,0,3,0,0,0.15,0.15,0,0.15,"https://fbref.com/en/players/b853e0ad/Fred"
