"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 IR Iran","WCQ — AFC M","Hossein Kanaanizadegan","DF","27",17,17,1522,16.9,1,2,1,0,0,1,0,0.06,0.12,0.18,0.06,0.18,"https://fbref.com/en/players/24353c25/Hossein-Kanaanizadegan"
"2",NA,"2022 IR Iran","WCQ — AFC M","Ahmad Nourollahi","MF","28",16,14,1256,14,3,1,3,0,0,2,0,0.21,0.07,0.29,0.21,0.29,"https://fbref.com/en/players/2c5273b8/Ahmad-Nourollahi"
"3",NA,"2022 IR Iran","WCQ — AFC M","Sardar Azmoun","FW","27",14,14,1164,12.9,10,4,10,0,1,3,0,0.77,0.31,1.08,0.77,1.08,"https://fbref.com/en/players/10549b49/Sardar-Azmoun"
"4",NA,"2022 IR Iran","WCQ — AFC M","Alireza Beiranvand","GK","29",13,13,1170,13,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/6ca0b04a/Alireza-Beiranvand"
"5",NA,"2022 IR Iran","WCQ — AFC M","Mehdi Taremi","FW,MF","29",13,13,1069,11.9,7,5,7,0,0,2,0,0.59,0.42,1.01,0.59,1.01,"https://fbref.com/en/players/4c2a5d34/Mehdi-Taremi"
"6",NA,"2022 IR Iran","WCQ — AFC M","Sadegh Moharrami","DF","25",12,12,1035,11.5,0,1,0,0,0,4,1,0,0.09,0.09,0,0.09,"https://fbref.com/en/players/25b74470/Sadegh-Moharrami"
"7",NA,"2022 IR Iran","WCQ — AFC M","Ali Gholizadeh","FW,MF","25",14,12,1003,11.1,3,1,3,0,0,0,0,0.27,0.09,0.36,0.27,0.36,"https://fbref.com/en/players/9fc0ac41/Ali-Gholizadeh"
"8",NA,"2022 IR Iran","WCQ — AFC M","Shoja' Khalilzadeh","DF","32",12,12,986,11,1,0,1,0,0,2,0,0.09,0,0.09,0.09,0.09,"https://fbref.com/en/players/0aed29f1/Shoja-Khalilzadeh"
"9",NA,"2022 IR Iran","WCQ — AFC M","Alireza Jahanbakhsh","MF,FW","28",12,12,972,10.8,5,2,4,1,1,4,0,0.46,0.19,0.65,0.37,0.56,"https://fbref.com/en/players/08452314/Alireza-Jahanbakhsh"
"10",NA,"2022 IR Iran","WCQ — AFC M","Vahid Amiri","DF,MF","33",14,11,1044,11.6,1,1,1,0,0,0,0,0.09,0.09,0.17,0.09,0.17,"https://fbref.com/en/players/750cc65b/Vahid-Amiri"
"11",NA,"2022 IR Iran","WCQ — AFC M","Saeid Ezatolahi","MF","25",13,11,873,9.7,0,0,0,0,1,3,0,0,0,0,0,0,"https://fbref.com/en/players/314d95ac/Saeid-Ezatolahi"
"12",NA,"2022 IR Iran","WCQ — AFC M","Milad Mohammadi","DF","28",13,8,761,8.5,1,1,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24,"https://fbref.com/en/players/740a0e28/Milad-Mohammadi"
