"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Serbia","WCQ — UEFA M","Sergej Milinković-Savić","MF,FW","26",7,7,630,7,1,2,1,0,0,0,0,0.14,0.29,0.43,0.14,0.43,"https://fbref.com/en/players/4e6dbac4/Sergej-Milinkovic-Savic"
"2",NA,"2022 Serbia","WCQ — UEFA M","Dušan Tadić","FW,MF","33",8,7,607,6.7,2,6,1,1,1,1,0,0.3,0.89,1.19,0.15,1.04,"https://fbref.com/en/players/2475dcc6/Dusan-Tadic"
"3",NA,"2022 Serbia","WCQ — UEFA M","Filip Kostić","MF","29",8,7,585,6.5,1,2,1,0,0,0,0,0.15,0.31,0.46,0.15,0.46,"https://fbref.com/en/players/b1cd37e6/Filip-Kostic"
"4",NA,"2022 Serbia","WCQ — UEFA M","Strahinja Pavlović","DF","20",7,7,585,6.5,0,0,0,0,0,3,0,0,0,0,0,0,"https://fbref.com/en/players/25146df0/Strahinja-Pavlovic"
"5",NA,"2022 Serbia","WCQ — UEFA M","Predrag Rajković","GK","26",6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/58ad9383/Predrag-Rajkovic"
"6",NA,"2022 Serbia","WCQ — UEFA M","Nemanja Gudelj","MF","30",7,6,488,5.4,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/0076ab7f/Nemanja-Gudelj"
"7",NA,"2022 Serbia","WCQ — UEFA M","Dušan Vlahović","FW","22",8,6,488,5.4,4,0,3,1,1,0,0,0.74,0,0.74,0.55,0.55,"https://fbref.com/en/players/79443529/Dusan-Vlahovic"
"8",NA,"2022 Serbia","WCQ — UEFA M","Aleksandar Mitrović","FW","27",8,5,528,5.9,8,0,8,0,0,2,0,1.36,0,1.36,1.36,1.36,"https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic"
"9",NA,"2022 Serbia","WCQ — UEFA M","Nikola Milenković","DF","24",5,5,449,5,1,0,1,0,0,1,1,0.2,0,0.2,0.2,0.2,"https://fbref.com/en/players/bee704fc/Nikola-Milenkovic"
"10",NA,"2022 Serbia","WCQ — UEFA M","Saša Lukić","MF","25",5,4,360,4,0,1,0,0,0,0,0,0,0.25,0.25,0,0.25,"https://fbref.com/en/players/c6e8cf1f/Sasa-Lukic"
"11",NA,"2022 Serbia","WCQ — UEFA M","Stefan Mitrović","DF","31",4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e6777e6b/Stefan-Mitrovic"
"12",NA,"2022 Serbia","WCQ — UEFA M","Miloš Veljković","DF","26",5,4,342,3.8,0,1,0,0,0,0,0,0,0.26,0.26,0,0.26,"https://fbref.com/en/players/a5ae8f8e/Milos-Veljkovic"
"13",NA,"2022 Serbia","WCQ — UEFA M","Matija Nastasić","DF","28",3,3,262,2.9,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f35430a4/Matija-Nastasic"
"14",NA,"2022 Serbia","WCQ — UEFA M","Darko Lazović","MF","31",5,3,226,2.5,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,"https://fbref.com/en/players/5128bde4/Darko-Lazovic"
"15",NA,"2022 Serbia","WCQ — UEFA M","Filip Đuričić","MF,FW","30",4,3,186,2.1,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/eccbe56a/Filip-Djuricic"
"16",NA,"2022 Serbia","WCQ — UEFA M","Marko Dmitrović","GK","30",2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ac295d9e/Marko-Dmitrovic"
"17",NA,"2022 Serbia","WCQ — UEFA M","Nemanja Radonjić","MF","25",7,1,255,2.8,0,2,0,0,0,1,0,0,0.71,0.71,0,0.71,"https://fbref.com/en/players/0630eb63/Nemanja-Radonjic"
"18",NA,"2022 Serbia","WCQ — UEFA M","Uroš Spajić","DF","28",3,1,161,1.8,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/02ce2030/Uros-Spajic"
