"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Spain","WCQ — UEFA M","Unai Simón","GK","24",8,8,703,7.8,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/5dcf3e90/Unai-Simon"
"2",NA,"2022 Spain","WCQ — UEFA M","Ferrán Torres","FW","21",6,6,490,5.4,4,0,4,0,0,0,0,0.73,0,0.73,0.73,0.73,"https://fbref.com/en/players/9e1035f8/Ferran-Torres"
"3",NA,"2022 Spain","WCQ — UEFA M","Álvaro Morata","FW","29",7,6,488,5.4,2,1,2,0,0,0,0,0.37,0.18,0.55,0.37,0.55,"https://fbref.com/en/players/129af0db/Alvaro-Morata"
"4",NA,"2022 Spain","WCQ — UEFA M","Sergio Busquets","MF","33",6,5,443,4.9,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/5ab0ea87/Sergio-Busquets"
"5",NA,"2022 Spain","WCQ — UEFA M","Koke","MF","30",5,5,415,4.6,0,2,0,0,0,0,0,0,0.43,0.43,0,0.43,"https://fbref.com/en/players/55126f3b/Koke"
"6",NA,"2022 Spain","WCQ — UEFA M","Eric García","DF","21",5,5,414,4.6,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/2bed3eab/Eric-Garcia"
"7",NA,"2022 Spain","WCQ — UEFA M","Aymeric Laporte","DF","27",5,5,405,4.5,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/119b9a8e/Aymeric-Laporte"
"8",NA,"2022 Spain","WCQ — UEFA M","Marcos Llorente","DF,MF","27",6,4,397,4.4,0,2,0,0,0,0,0,0,0.45,0.45,0,0.45,"https://fbref.com/en/players/02c15616/Marcos-Llorente"
"9",NA,"2022 Spain","WCQ — UEFA M","Jordi Alba","DF","32",4,4,360,4,0,4,0,0,0,1,0,0,1,1,0,1,"https://fbref.com/en/players/4601e194/Jordi-Alba"
"10",NA,"2022 Spain","WCQ — UEFA M","Carlos Soler","MF","25",4,4,303,3.4,2,0,2,0,0,0,0,0.59,0,0.59,0.59,0.59,"https://fbref.com/en/players/fed17f5a/Carlos-Soler"
"11",NA,"2022 Spain","WCQ — UEFA M","Iñigo Martínez","DF","30",5,3,358,4,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/3fc45c73/Inigo-Martinez"
"12",NA,"2022 Spain","WCQ — UEFA M","Dani Olmo","FW,MF","23",5,3,311,3.5,2,1,2,0,0,0,0,0.58,0.29,0.87,0.58,0.87,"https://fbref.com/en/players/ae44e8e2/Dani-Olmo"
"13",NA,"2022 Spain","WCQ — UEFA M","César Azpilicueta","DF","32",5,3,305,3.4,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/53cad200/Cesar-Azpilicueta"
"14",NA,"2022 Spain","WCQ — UEFA M","Rodri","MF","25",6,3,287,3.2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/6434f10d/Rodri"
"15",NA,"2022 Spain","WCQ — UEFA M","José Luis Gayà","DF","26",3,3,253,2.8,1,0,1,0,0,0,0,0.36,0,0.36,0.36,0.36,"https://fbref.com/en/players/b05e2dbd/Jose-Luis-Gaya"
"16",NA,"2022 Spain","WCQ — UEFA M","Pablo Sarabia","FW","29",5,3,239,2.7,2,0,1,1,1,1,0,0.75,0,0.75,0.38,0.38,"https://fbref.com/en/players/9744ff80/Pablo-Sarabia"
"17",NA,"2022 Spain","WCQ — UEFA M","Pedri","MF","19",3,2,184,2,0,1,0,0,0,0,0,0,0.49,0.49,0,0.49,"https://fbref.com/en/players/0d9b2d31/Pedri"
