"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Senegal","WCQ — CAF M","Kalidou Koulibaly","DF","30",8,8,750,8.3,0,2,0,0,0,1,0,0,0.24,0.24,0,0.24,"https://fbref.com/en/players/da974c7b/Kalidou-Koulibaly"
"2",NA,"2022 Senegal","WCQ — CAF M","Ismaila Sarr","MF,FW","23",8,8,744,8.3,3,1,3,0,0,1,0,0.36,0.12,0.48,0.36,0.48,"https://fbref.com/en/players/bfdb33aa/Ismaila-Sarr"
"3",NA,"2022 Senegal","WCQ — CAF M","Idrissa Gana Gueye","MF","32",8,8,711,7.9,1,0,1,0,0,1,0,0.13,0,0.13,0.13,0.13,"https://fbref.com/en/players/72c812f3/Idrissa-Gana-Gueye"
"4",NA,"2022 Senegal","WCQ — CAF M","Saliou Ciss","DF","32",8,7,666,7.4,0,3,0,0,0,0,0,0,0.41,0.41,0,0.41,"https://fbref.com/en/players/2235f850/Saliou-Ciss"
"5",NA,"2022 Senegal","WCQ — CAF M","Edouard Mendy","GK","29",7,7,660,7.3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/33887998/Edouard-Mendy"
"6",NA,"2022 Senegal","WCQ — CAF M","Sadio Mané","MF,FW","29",7,7,599,6.7,3,4,2,1,1,1,0,0.45,0.6,1.05,0.3,0.9,"https://fbref.com/en/players/c691bfe2/Sadio-Mane"
"7",NA,"2022 Senegal","WCQ — CAF M","Bouna Sarr","DF,MF","30",6,6,517,5.7,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1a4b9094/Bouna-Sarr"
"8",NA,"2022 Senegal","WCQ — CAF M","Cheikhou Kouyaté","MF","32",6,5,449,5,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8d3c902d/Cheikhou-Kouyate"
"9",NA,"2022 Senegal","WCQ — CAF M","Abdou Diallo","DF","25",5,5,373,4.1,1,0,1,0,0,1,0,0.24,0,0.24,0.24,0.24,"https://fbref.com/en/players/fc62f087/Abdou-Diallo"
"10",NA,"2022 Senegal","WCQ — CAF M","Boulaye Dia","FW","25",5,4,354,3.9,2,1,2,0,0,0,0,0.51,0.25,0.76,0.51,0.76,"https://fbref.com/en/players/244bc2c8/Boulaye-Dia"
"11",NA,"2022 Senegal","WCQ — CAF M","Famara Diedhiou","FW","29",5,4,304,3.4,4,0,4,0,0,0,0,1.18,0,1.18,1.18,1.18,"https://fbref.com/en/players/e447352c/Famara-Diedhiou"
"12",NA,"2022 Senegal","WCQ — CAF M","Pape Abou Cisse","DF","26",4,3,355,3.9,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8bc373ea/Pape-Abou-Cisse"
"13",NA,"2022 Senegal","WCQ — CAF M","Nampalys Mendy","MF","29",6,3,300,3.3,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/1598599e/Nampalys-Mendy"
"14",NA,"2022 Senegal","WCQ — CAF M","Krepin Diatta","MF","22",4,3,244,2.7,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8104e41e/Krepin-Diatta"
"15",NA,"2022 Senegal","WCQ — CAF M","Ibrahima Mbaye","DF","27",2,2,161,1.8,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/cfbf9881/Ibrahima-Mbaye"
"16",NA,"2022 Senegal","WCQ — CAF M","Habib Diallo","FW","26",4,1,129,1.4,1,1,1,0,0,0,0,0.7,0.7,1.4,0.7,1.4,"https://fbref.com/en/players/6605d143/Habib-Diallo"
"17",NA,"2022 Senegal","WCQ — CAF M","Youssouf Sabaly","DF","28",1,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/fbbb9269/Youssouf-Sabaly"
"18",NA,"2022 Senegal","WCQ — CAF M","Keita Baldé","MF","26",2,1,108,1.2,1,0,1,0,0,0,0,0.83,0,0.83,0.83,0.83,"https://fbref.com/en/players/509a4ccb/Keita-Balde"
"19",NA,"2022 Senegal","WCQ — CAF M","Joseph Lopy","MF","29",2,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/3886c982/Joseph-Lopy"
"20",NA,"2022 Senegal","WCQ — CAF M","Pape Matar Sarr","FW","19",3,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/feb5d972/Pape-Matar-Sarr"
