"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Canada","WCQ — CONCACAF M","Alistair Johnston","DF","23",19,15,1375,15.3,1,1,1,0,0,0,0,0.07,0.07,0.13,0.07,0.13,"https://fbref.com/en/players/4fb17e20/Alistair-Johnston"
"2",NA,"2022 Canada","WCQ — CONCACAF M","Jonathan David","FW,MF","22",18,15,1332,14.8,9,3,8,1,1,0,0,0.61,0.2,0.81,0.54,0.74,"https://fbref.com/en/players/ce50fd99/Jonathan-David"
"3",NA,"2022 Canada","WCQ — CONCACAF M","Stephen Eustáquio","MF","25",17,15,1327,14.7,0,2,0,0,0,1,0,0,0.14,0.14,0,0.14,"https://fbref.com/en/players/577efaec/Stephen-Eustaquio"
"4",NA,"2022 Canada","WCQ — CONCACAF M","Milan Borjan","GK","34",14,14,1260,14,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/5e8936be/Milan-Borjan"
"5",NA,"2022 Canada","WCQ — CONCACAF M","Richie Laryea","MF,DF","27",16,14,1200,13.3,1,2,1,0,0,4,0,0.07,0.15,0.23,0.07,0.23,"https://fbref.com/en/players/276fdbe4/Richie-Laryea"
"6",NA,"2022 Canada","WCQ — CONCACAF M","Tajon Buchanan","MF,FW","22",17,12,1123,12.5,3,4,3,0,0,3,0,0.24,0.32,0.56,0.24,0.56,"https://fbref.com/en/players/3aca6420/Tajon-Buchanan"
"7",NA,"2022 Canada","WCQ — CONCACAF M","Alphonso Davies","FW,MF","21",13,12,1051,11.7,4,8,3,1,1,1,0,0.34,0.69,1.03,0.26,0.94,"https://fbref.com/en/players/d781d855/Alphonso-Davies"
"8",NA,"2022 Canada","WCQ — CONCACAF M","Cyle Larin","FW","26",16,12,1001,11.1,13,0,12,1,1,0,0,1.17,0,1.17,1.08,1.08,"https://fbref.com/en/players/e7af9060/Cyle-Larin"
"9",NA,"2022 Canada","WCQ — CONCACAF M","Sam Adekugbe","DF,MF","27",18,11,1110,12.3,1,2,1,0,0,2,0,0.08,0.16,0.24,0.08,0.24,"https://fbref.com/en/players/7f2309be/Sam-Adekugbe"
"10",NA,"2022 Canada","WCQ — CONCACAF M","Steven Vitória","DF","35",12,11,1044,11.6,0,0,0,0,0,5,0,0,0,0,0,0,"https://fbref.com/en/players/9bc450e6/Steven-Vitoria"
"11",NA,"2022 Canada","WCQ — CONCACAF M","Jonathan Osorio","MF,FW","29",16,11,908,10.1,1,1,1,0,0,1,0,0.1,0.1,0.2,0.1,0.2,"https://fbref.com/en/players/70106ff6/Jonathan-Osorio"
"12",NA,"2022 Canada","WCQ — CONCACAF M","Mark-Anthony Kaye","MF","27",15,11,854,9.5,2,3,2,0,1,4,1,0.21,0.32,0.53,0.21,0.53,"https://fbref.com/en/players/36a38acd/Mark-Anthony-Kaye"
"13",NA,"2022 Canada","WCQ — CONCACAF M","Kamal Miller","DF","24",13,10,953,10.6,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/0646bd8a/Kamal-Miller"
"14",NA,"2022 Canada","WCQ — CONCACAF M","Atiba Hutchinson","MF,DF","38",11,8,761,8.5,2,0,2,0,0,1,0,0.24,0,0.24,0.24,0.24,"https://fbref.com/en/players/f1b55719/Atiba-Hutchinson"
"15",NA,"2022 Canada","WCQ — CONCACAF M","Scott Kennedy","DF","24",8,7,592,6.6,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/17fd7a8c/Scott-Kennedy"
"16",NA,"2022 Canada","WCQ — CONCACAF M","Junior Hoilett","MF,FW","31",13,7,591,6.6,3,1,2,1,1,1,0,0.46,0.15,0.61,0.3,0.46,"https://fbref.com/en/players/33af5b9e/Junior-Hoilett"
