"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Portugal","WCQ — UEFA M","Cristiano Ronaldo","FW","36",9,9,810,9,6,1,4,2,3,2,0,0.67,0.11,0.78,0.44,0.56,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo"
"2",NA,"2022 Portugal","WCQ — UEFA M","Bernardo Silva","FW,MF","27",9,9,728,8.1,1,4,1,0,0,0,0,0.12,0.49,0.62,0.12,0.62,"https://fbref.com/en/players/3eb22ec9/Bernardo-Silva"
"3",NA,"2022 Portugal","WCQ — UEFA M","João Cancelo","DF","27",8,8,692,7.7,0,2,0,0,0,3,0,0,0.26,0.26,0,0.26,"https://fbref.com/en/players/bd6351cd/Joao-Cancelo"
"4",NA,"2022 Portugal","WCQ — UEFA M","Bruno Fernandes","MF","27",9,7,631,7,3,2,3,0,0,2,0,0.43,0.29,0.71,0.43,0.71,"https://fbref.com/en/players/507c7bdf/Bruno-Fernandes"
"5",NA,"2022 Portugal","WCQ — UEFA M","Rúben Dias","DF","24",7,7,630,7,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/31c69ef1/Ruben-Dias"
"6",NA,"2022 Portugal","WCQ — UEFA M","Diogo Jota","FW","25",7,7,545,6.1,5,2,5,0,0,2,0,0.83,0.33,1.16,0.83,1.16,"https://fbref.com/en/players/178ae8f8/Diogo-Jota"
"7",NA,"2022 Portugal","WCQ — UEFA M","João Moutinho","MF","35",8,6,477,5.3,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/f5a00fa4/Joao-Moutinho"
"8",NA,"2022 Portugal","WCQ — UEFA M","Nuno Mendes","DF","19",9,5,521,5.8,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/f20e4cc9/Nuno-Mendes"
"9",NA,"2022 Portugal","WCQ — UEFA M","Rui Patrício","GK","33",5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/79b0d6a0/Rui-Patricio"
"10",NA,"2022 Portugal","WCQ — UEFA M","Danilo Pereira","DF,MF","30",5,5,449,5,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/8fd9996f/Danilo-Pereira"
"11",NA,"2022 Portugal","WCQ — UEFA M","Pepe","DF","38",5,5,441,4.9,0,0,0,0,0,2,1,0,0,0,0,0,"https://fbref.com/en/players/c906ce0f/Pepe"
"12",NA,"2022 Portugal","WCQ — UEFA M","José Fonte","DF","38",5,4,368,4.1,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/90f87966/Jose-Fonte"
"13",NA,"2022 Portugal","WCQ — UEFA M","André Silva","FW","26",6,4,356,4,1,0,1,0,0,0,0,0.25,0,0.25,0.25,0.25,"https://fbref.com/en/players/3effaa34/Andre-Silva"
"14",NA,"2022 Portugal","WCQ — UEFA M","João Palhinha","MF","26",8,4,333,3.7,2,0,2,0,0,1,0,0.54,0,0.54,0.54,0.54,"https://fbref.com/en/players/a78ff07f/Joao-Palhinha"
"15",NA,"2022 Portugal","WCQ — UEFA M","Anthony Lopes","GK","31",3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f00de885/Anthony-Lopes"
"16",NA,"2022 Portugal","WCQ — UEFA M","Raphaël Guerreiro","DF","28",3,3,218,2.4,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/048a1cbc/Raphael-Guerreiro"
"17",NA,"2022 Portugal","WCQ — UEFA M","Rúben Neves","MF","24",5,2,246,2.7,0,1,0,0,0,0,0,0,0.37,0.37,0,0.37,"https://fbref.com/en/players/44bfb6c5/Ruben-Neves"
"18",NA,"2022 Portugal","WCQ — UEFA M","Renato Sanches","MF","24",4,2,207,2.3,1,0,1,0,0,2,0,0.43,0,0.43,0.43,0.43,"https://fbref.com/en/players/032f894e/Renato-Sanches"
"19",NA,"2022 Portugal","WCQ — UEFA M","Diogo Costa","GK","22",2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/93fffbcf/Diogo-Costa"
"20",NA,"2022 Portugal","WCQ — UEFA M","Diogo Dalot","DF","22",2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d9565625/Diogo-Dalot"
"21",NA,"2022 Portugal","WCQ — UEFA M","Otávio","MF,FW","26",3,2,175,1.9,1,1,1,0,0,0,0,0.51,0.51,1.03,0.51,1.03,"https://fbref.com/en/players/28b1f3ce/Otavio"
"22",NA,"2022 Portugal","WCQ — UEFA M","Pedro Neto","MF","21",2,1,112,1.2,0,2,0,0,0,0,0,0,1.61,1.61,0,1.61,"https://fbref.com/en/players/7ba2eaa9/Pedro-Neto"
"23",NA,"2022 Portugal","WCQ — UEFA M","João Félix","FW","22",7,1,110,1.2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8aafd64f/Joao-Felix"
"24",NA,"2022 Portugal","WCQ — UEFA M","Rafa Silva","FW","28",3,1,96,1.1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/70cf63ca/Rafa-Silva"
"25",NA,"2022 Portugal","WCQ — UEFA M","Domingos Duarte","DF","26",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/93090f69/Domingos-Duarte"
"26",NA,"2022 Portugal","WCQ — UEFA M","Nélson Semedo","DF","28",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d04b94db/Nelson-Semedo"
"27",NA,"2022 Portugal","WCQ — UEFA M","Cédric Soares","DF","30",1,1,90,1,0,1,0,0,0,0,0,0,1,1,0,1,"https://fbref.com/en/players/839c14e1/Cedric-Soares"
"28",NA,"2022 Portugal","WCQ — UEFA M","Gonçalo Guedes","FW","25",4,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e6bc67d7/Goncalo-Guedes"
"29",NA,"2022 Portugal","WCQ — UEFA M","Sérgio Oliveira","MF","29",3,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/947e036f/Sergio-Oliveira"
"30",NA,"2022 Portugal","WCQ — UEFA M","Matheus Nunes","MF","23",4,1,74,0.8,1,0,1,0,0,0,0,1.22,0,1.22,1.22,1.22,"https://fbref.com/en/players/e6af02e0/Matheus-Nunes"
"31",NA,"2022 Portugal","WCQ — UEFA M","João Mário","MF","29",3,0,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f0021247/Joao-Mario"
"32",NA,"2022 Portugal","WCQ — UEFA M","Rafael Leão","FW,MF","22",4,0,63,0.7,0,1,0,0,0,0,0,0,1.43,1.43,0,1.43,"https://fbref.com/en/players/20730eae/Rafael-Leao"
"33",NA,"2022 Portugal","WCQ — UEFA M","William Carvalho","MF","29",2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/dee86451/William-Carvalho"
