"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Ecuador","WCQ — CONMEBOL M","Pervis Estupiñán","DF,MF","24",17,17,1513,16.8,2,1,2,0,0,2,0,0.12,0.06,0.18,0.12,0.18,"https://fbref.com/en/players/d38fdf53/Pervis-Estupinan"
"2",NA,"2022 Ecuador","WCQ — CONMEBOL M","Carlos Gruezo","MF","26",16,16,1395,15.5,1,0,0,1,1,2,0,0.06,0,0.06,0,0,"https://fbref.com/en/players/f2dd9a21/Carlos-Gruezo"
"3",NA,"2022 Ecuador","WCQ — CONMEBOL M","Moisés Caicedo","MF","20",15,15,1305,14.5,2,4,2,0,0,5,0,0.14,0.28,0.41,0.14,0.41,"https://fbref.com/en/players/16264a81/Moises-Caicedo"
"4",NA,"2022 Ecuador","WCQ — CONMEBOL M","Ángel Mena","MF,FW","34",15,13,1079,12,2,3,2,0,0,2,0,0.17,0.25,0.42,0.17,0.42,"https://fbref.com/en/players/ea83f5c2/Angel-Mena"
"5",NA,"2022 Ecuador","WCQ — CONMEBOL M","Michael Estrada","FW","25",17,11,1043,11.6,6,2,6,0,0,2,0,0.52,0.17,0.69,0.52,0.69,"https://fbref.com/en/players/773f5f12/Michael-Estrada"
"6",NA,"2022 Ecuador","WCQ — CONMEBOL M","Piero Hincapié","DF","20",11,11,990,11,1,0,1,0,0,1,0,0.09,0,0.09,0.09,0.09,"https://fbref.com/en/players/0c7a48f8/Piero-Hincapie"
"7",NA,"2022 Ecuador","WCQ — CONMEBOL M","Félix Torres Caicedo","DF","25",11,11,990,11,2,0,2,0,0,2,0,0.18,0,0.18,0.18,0.18,"https://fbref.com/en/players/c0a8860f/Felix-Torres-Caicedo"
"8",NA,"2022 Ecuador","WCQ — CONMEBOL M","Alexander Domínguez","GK","34",10,10,824,9.2,0,0,0,0,0,2,1,0,0,0,0,0,"https://fbref.com/en/players/84c22fa0/Alexander-Dominguez"
"9",NA,"2022 Ecuador","WCQ — CONMEBOL M","Enner Valencia","FW,MF","32",12,10,758,8.4,4,1,3,1,2,5,0,0.47,0.12,0.59,0.36,0.47,"https://fbref.com/en/players/fb485406/Enner-Valencia"
"10",NA,"2022 Ecuador","WCQ — CONMEBOL M","Ángelo Preciado","DF,MF","23",13,8,755,8.4,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/eadc8e4f/Angelo-Preciado"
"11",NA,"2022 Ecuador","WCQ — CONMEBOL M","Robert Arboleda","DF","30",10,8,718,8,1,1,1,0,0,0,0,0.13,0.13,0.25,0.13,0.25,"https://fbref.com/en/players/269dbfc6/Robert-Arboleda"
"12",NA,"2022 Ecuador","WCQ — CONMEBOL M","Gonzalo Plata","FW,MF","21",16,7,891,9.9,3,1,3,0,0,4,1,0.3,0.1,0.4,0.3,0.4,"https://fbref.com/en/players/54bcdeb0/Gonzalo-Plata"
"13",NA,"2022 Ecuador","WCQ — CONMEBOL M","Byron Castillo","DF,MF","23",8,7,613,6.8,0,1,0,0,0,3,0,0,0.15,0.15,0,0.15,"https://fbref.com/en/players/7caf162d/Byron-Castillo"
"14",NA,"2022 Ecuador","WCQ — CONMEBOL M","Xavier Arreaga","DF","27",9,7,612,6.8,1,1,1,0,0,0,0,0.15,0.15,0.29,0.15,0.29,"https://fbref.com/en/players/7f2b7640/Xavier-Arreaga"
