"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Japan","WCQ — AFC M","Shūichi Gonda","GK","32",15,15,1322,14.7,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d8e5492f/Shuichi-Gonda"
"2",NA,"2022 Japan","WCQ — AFC M","Maya Yoshida","DF","33",14,14,1187,13.2,2,1,2,0,0,0,0,0.15,0.08,0.23,0.15,0.23,"https://fbref.com/en/players/caffaf5a/Maya-Yoshida"
"3",NA,"2022 Japan","WCQ — AFC M","Yuto Nagatomo","DF","35",14,14,1110,12.3,1,2,1,0,0,1,0,0.08,0.16,0.24,0.08,0.24,"https://fbref.com/en/players/4b6960d2/Yuto-Nagatomo"
"4",NA,"2022 Japan","WCQ — AFC M","Takumi Minamino","MF,FW","27",15,14,1076,12,10,4,9,1,1,0,0,0.84,0.33,1.17,0.75,1.09,"https://fbref.com/en/players/f833a830/Takumi-Minamino"
"5",NA,"2022 Japan","WCQ — AFC M","Wataru Endo","MF","28",13,13,1117,12.4,1,0,1,0,0,3,0,0.08,0,0.08,0.08,0.08,"https://fbref.com/en/players/c149016b/Wataru-Endo"
"6",NA,"2022 Japan","WCQ — AFC M","Junya Ito","MF,FW","28",14,12,1067,11.9,6,7,6,0,0,2,0,0.51,0.59,1.1,0.51,1.1,"https://fbref.com/en/players/dbd3a428/Junya-Ito"
"7",NA,"2022 Japan","WCQ — AFC M","Yuya Osako","FW","31",11,11,885,9.8,10,2,8,2,2,0,0,1.02,0.2,1.22,0.81,1.02,"https://fbref.com/en/players/f69fba57/Yuya-Osako"
"8",NA,"2022 Japan","WCQ — AFC M","Hiroki Sakai","DF,MF","31",10,10,821,9.1,0,3,0,0,0,0,0,0,0.33,0.33,0,0.33,"https://fbref.com/en/players/d63e2912/Hiroki-Sakai"
"9",NA,"2022 Japan","WCQ — AFC M","Gaku Shibasaki","MF,DF","29",11,9,757,8.4,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/d2ac648c/Gaku-Shibasaki"
"10",NA,"2022 Japan","WCQ — AFC M","Takehiro Tomiyasu","DF","23",8,8,700,7.8,0,1,0,0,0,0,0,0,0.13,0.13,0,0.13,"https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu"
